,Sample_ID,sobs,Shannon,Simpson,Age,Strain,Genotype
1,X20_AKF_8733_2,52,2.266255095,0.167772842,20 Weeks,AJ,KO
2,X20_AKF_8738_1,56,2.346836383,0.13708706,20 Weeks,AJ,KO
3,X20_AKF_8738_2,46,2.324335041,0.131570598,20 Weeks,AJ,KO
4,X20_AKF_8802_1,51,2.052823893,0.198842882,20 Weeks,AJ,KO
5,X20_AKF_8802_2,43,1.991506563,0.231242019,20 Weeks,AJ,KO
6,X20_AKM_8768_1,52,2.273324849,0.154089338,20 Weeks,AJ,KO
7,X20_AKM_8768_2,51,2.23222567,0.162190466,20 Weeks,AJ,KO
8,X20_AKM_8769_1,47,2.402279938,0.141053505,20 Weeks,AJ,KO
9,X20_AKM_8769_2,54,2.330821394,0.161473099,20 Weeks,AJ,KO
10,X20_AKM_8771_1,59,2.411730666,0.135051293,20 Weeks,AJ,KO
11,X20_AKM_8771_2,49,2.38263589,0.135896521,20 Weeks,AJ,KO
24,X20_BKF_8726_1,78,2.830943834,0.118219299,20 Weeks,B6,KO
25,X20_BKF_8726_2,71,2.729729167,0.136756498,20 Weeks,B6,KO
26,X20_BKF_8926_1,72,2.831432319,0.109012073,20 Weeks,B6,KO
27,X20_BKF_8926_2,74,2.892237749,0.10240371,20 Weeks,B6,KO
28,X20_BKF_8927_1,84,2.685441714,0.128724214,20 Weeks,B6,KO
29,X20_BKF_8927_2,78,2.617603824,0.140353641,20 Weeks,B6,KO
30,X20_BKM_8719_1,82,2.47910467,0.168389098,20 Weeks,B6,KO
31,X20_BKM_8719_2,79,2.648348506,0.145239441,20 Weeks,B6,KO
32,X20_BKM_8859_1,75,2.666245487,0.123254606,20 Weeks,B6,KO
33,X20_BKM_8859_2,94,2.839019462,0.107817679,20 Weeks,B6,KO
34,X20_BKM_8860_1,83,2.710430716,0.106980187,20 Weeks,B6,KO
35,X20_BKM_8860_2,76,2.920367317,0.091443297,20 Weeks,B6,KO
48,X8_AKF_8733_1,57,2.543964843,0.141503283,8 Weeks,AJ,KO
49,X8_AKF_8733_2,62,2.552991265,0.141382503,8 Weeks,AJ,KO
50,X8_AKF_8738_1,69,2.353225461,0.186339664,8 Weeks,AJ,KO
51,X8_AKF_8738_2,81,2.58289316,0.15413947,8 Weeks,AJ,KO
52,X8_AKF_8802_1,65,2.607899019,0.106637212,8 Weeks,AJ,KO
53,X8_AKM_8768_1,56,2.368212188,0.157692834,8 Weeks,AJ,KO
54,X8_AKM_8768_2,55,2.265753194,0.172255373,8 Weeks,AJ,KO
55,X8_AKM_8769_1,69,2.056882372,0.236867307,8 Weeks,AJ,KO
56,X8_AKM_8769_2,57,2.245916946,0.201847007,8 Weeks,AJ,KO
57,X8_AKM_8771_1,52,2.622880767,0.098629078,8 Weeks,AJ,KO
58,X8_AKM_8771_2,46,2.15002729,0.181276477,8 Weeks,AJ,KO
70,X8_BKF_8726_1,75,2.549178651,0.16183823,8 Weeks,B6,KO
71,X8_BKF_8726_2,77,2.692192473,0.130538888,8 Weeks,B6,KO
72,X8_BKF_8926_1,81,2.360357599,0.166782936,8 Weeks,B6,KO
73,X8_BKF_8926_2,79,2.425608195,0.168522102,8 Weeks,B6,KO
74,X8_BKF_8927_1,77,2.499980366,0.188467944,8 Weeks,B6,KO
75,X8_BKM_8719_1,71,2.516832041,0.182272354,8 Weeks,B6,KO
76,X8_BKM_8719_2,78,2.548724192,0.171490587,8 Weeks,B6,KO
77,X8_BKM_8859_1,83,2.233124225,0.2465446,8 Weeks,B6,KO
78,X8_BKM_8859_2,13,2.169589379,0.138257576,8 Weeks,B6,KO
79,X8_BKM_8860_1,78,2.874901916,0.102262554,8 Weeks,B6,KO
80,X8_BKM_8860_2,86,2.988099743,0.07973305,8 Weeks,B6,KO
12,X20_AWF_8736_1,65,2.35930522,0.191866611,20 Weeks,AJ,WT
13,X20_AWF_8736_2,66,2.224167288,0.206052873,20 Weeks,AJ,WT
14,X20_AWF_8797_1,60,2.458897137,0.148188816,20 Weeks,AJ,WT
15,X20_AWF_8797_2,58,2.503067196,0.142471269,20 Weeks,AJ,WT
16,X20_AWF_9005_1,60,2.728473741,0.102173667,20 Weeks,AJ,WT
17,X20_AWF_9005_2,55,2.53007989,0.131533824,20 Weeks,AJ,WT
18,X20_AWM_8728_1,61,1.948508501,0.300451155,20 Weeks,AJ,WT
19,X20_AWM_8728_2,72,2.463031716,0.154770254,20 Weeks,AJ,WT
20,X20_AWM_8730_1,68,2.339353876,0.210322748,20 Weeks,AJ,WT
21,X20_AWM_8730_2,71,2.336046754,0.217169363,20 Weeks,AJ,WT
22,X20_AWM_8766_1,57,2.039225387,0.200953654,20 Weeks,AJ,WT
23,X20_AWM_8766_2,54,1.908222619,0.261639256,20 Weeks,AJ,WT
36,X20_BWF_8754_1,71,2.657983771,0.138279994,20 Weeks,B6,WT
37,X20_BWF_8754_2,80,2.832135641,0.113835575,20 Weeks,B6,WT
38,X20_BWF_8755_1,67,2.276965197,0.216867729,20 Weeks,B6,WT
39,X20_BWF_8755_2,74,2.24849552,0.219867029,20 Weeks,B6,WT
40,X20_BWF_8852_1,57,2.051268469,0.251926288,20 Weeks,B6,WT
41,X20_BWF_8852_2,55,2.055151885,0.266701423,20 Weeks,B6,WT
42,X20_BWM_8745_1,63,2.322297778,0.170732241,20 Weeks,B6,WT
43,X20_BWM_8745_2,73,2.515235928,0.160493114,20 Weeks,B6,WT
44,X20_BWM_8747_1,62,2.315500212,0.202283579,20 Weeks,B6,WT
45,X20_BWM_8747_2,67,2.426502794,0.178547307,20 Weeks,B6,WT
46,X20_BWM_8847_1,76,2.320984695,0.193520806,20 Weeks,B6,WT
47,X20_BWM_8847_2,72,2.442966702,0.173141327,20 Weeks,B6,WT
59,X8_AWF_8736_1,66,2.473026338,0.178940094,8 Weeks,AJ,WT
60,X8_AWF_8736_2,60,2.291921587,0.219075649,8 Weeks,AJ,WT
61,X8_AWF_8797_1,72,2.526235224,0.14237004,8 Weeks,AJ,WT
62,X8_AWF_9005_1,60,2.382549979,0.14714748,8 Weeks,AJ,WT
63,X8_AWF_9005_2,49,2.252599364,0.164825624,8 Weeks,AJ,WT
64,X8_AWM_8728_1,73,2.433725378,0.188796462,8 Weeks,AJ,WT
65,X8_AWM_8728_2,74,2.097007833,0.285297505,8 Weeks,AJ,WT
66,X8_AWM_8730_1,71,2.626950072,0.126030163,8 Weeks,AJ,WT
67,X8_AWM_8730_2,64,2.585275334,0.129533612,8 Weeks,AJ,WT
68,X8_AWM_8766_1,59,2.161066257,0.19469418,8 Weeks,AJ,WT
69,X8_AWM_8766_2,65,2.388669081,0.167070447,8 Weeks,AJ,WT
81,X8_BWF_8754_1,70,2.536021514,0.158397181,8 Weeks,B6,WT
82,X8_BWF_8754_2,71,2.53831595,0.143925471,8 Weeks,B6,WT
83,X8_BWF_8755_1,69,2.374753706,0.184441103,8 Weeks,B6,WT
84,X8_BWF_8852_1,68,2.402775034,0.202000809,8 Weeks,B6,WT
85,X8_BWF_8852_2,67,2.237582787,0.233177451,8 Weeks,B6,WT
86,X8_BWM_8745_1,82,2.70522235,0.12510586,8 Weeks,B6,WT
87,X8_BWM_8745_2,87,2.851815296,0.110071964,8 Weeks,B6,WT
88,X8_BWM_8747_1,79,2.481323712,0.169471307,8 Weeks,B6,WT
89,X8_BWM_8747_2,84,2.689210194,0.129253093,8 Weeks,B6,WT
90,X8_BWM_8847_1,50,2.303921213,0.150337385,8 Weeks,B6,WT
91,X8_BWM_8847_2,50,2.463918432,0.133998916,8 Weeks,B6,WT
