"","taxa","Sample_ID","count","Level"
"1","Acidobacteriaceae","X20_AKF_8733_2",0,"Family"
"2","Acidobacteriaceae","X20_AKF_8738_1",0,"Family"
"3","Acidobacteriaceae","X20_AKF_8738_2",0,"Family"
"4","Acidobacteriaceae","X20_AKF_8802_1",0,"Family"
"5","Acidobacteriaceae","X20_AKF_8802_2",0,"Family"
"6","Acidobacteriaceae","X20_AKM_8768_1",0,"Family"
"7","Acidobacteriaceae","X20_AKM_8768_2",0,"Family"
"8","Acidobacteriaceae","X20_AKM_8769_1",0,"Family"
"9","Acidobacteriaceae","X20_AKM_8769_2",0,"Family"
"10","Acidobacteriaceae","X20_AKM_8771_1",0,"Family"
"11","Acidobacteriaceae","X20_AKM_8771_2",0,"Family"
"12","Acidobacteriaceae","X20_AWF_8736_1",0,"Family"
"13","Acidobacteriaceae","X20_AWF_8736_2",0,"Family"
"14","Acidobacteriaceae","X20_AWF_8797_1",0,"Family"
"15","Acidobacteriaceae","X20_AWF_8797_2",0,"Family"
"16","Acidobacteriaceae","X20_AWF_9005_1",0,"Family"
"17","Acidobacteriaceae","X20_AWF_9005_2",0,"Family"
"18","Acidobacteriaceae","X20_AWM_8728_1",0,"Family"
"19","Acidobacteriaceae","X20_AWM_8728_2",0,"Family"
"20","Acidobacteriaceae","X20_AWM_8730_1",0,"Family"
"21","Acidobacteriaceae","X20_AWM_8730_2",0.2,"Family"
"22","Acidobacteriaceae","X20_AWM_8766_1",0,"Family"
"23","Acidobacteriaceae","X20_AWM_8766_2",0,"Family"
"24","Acidobacteriaceae","X20_BKF_8726_1",0,"Family"
"25","Acidobacteriaceae","X20_BKF_8726_2",0,"Family"
"26","Acidobacteriaceae","X20_BKF_8926_1",0,"Family"
"27","Acidobacteriaceae","X20_BKF_8926_2",0,"Family"
"28","Acidobacteriaceae","X20_BKF_8927_1",0.2,"Family"
"29","Acidobacteriaceae","X20_BKF_8927_2",0,"Family"
"30","Acidobacteriaceae","X20_BKM_8719_1",0,"Family"
"31","Acidobacteriaceae","X20_BKM_8719_2",0,"Family"
"32","Acidobacteriaceae","X20_BKM_8859_1",0,"Family"
"33","Acidobacteriaceae","X20_BKM_8859_2",0,"Family"
