Species,Sample,count,Age,Strain,Phenotype,Sex
Akkermansia_muciniphila,AK1,1,8 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK2,1,8 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK3,0,8 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK4,0,8 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK5,0,8 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK6,1,8 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK7,0,8 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK8,0,8 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK9,0,8 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK10,0,8 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK11,0,8 Weeks,AJ,KO,M
Akkermansia_muciniphila,AW1,0,8 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW2,1,8 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW3,0,8 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW4,3,8 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW5,0,8 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW6,0,8 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW7,0,8 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW8,0,8 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW9,0,8 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW10,0,8 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW11,0,8 Weeks,AJ,WT,M
Akkermansia_muciniphila,BK1,51,8 Weeks,B6,KO,F
Akkermansia_muciniphila,BK2,78,8 Weeks,B6,KO,F
Akkermansia_muciniphila,BK3,27,8 Weeks,B6,KO,F
Akkermansia_muciniphila,BK4,40,8 Weeks,B6,KO,F
Akkermansia_muciniphila,BK5,66,8 Weeks,B6,KO,F
Akkermansia_muciniphila,BK6,24,8 Weeks,B6,KO,M
Akkermansia_muciniphila,BK7,13,8 Weeks,B6,KO,M
Akkermansia_muciniphila,BK8,1,8 Weeks,B6,KO,M
Akkermansia_muciniphila,BK9,0,8 Weeks,B6,KO,M
Akkermansia_muciniphila,BK10,63,8 Weeks,B6,KO,M
Akkermansia_muciniphila,BK11,196,8 Weeks,B6,KO,M
Akkermansia_muciniphila,BW1,86,8 Weeks,B6,WT,F
Akkermansia_muciniphila,BW2,35,8 Weeks,B6,WT,F
Akkermansia_muciniphila,BW3,40,8 Weeks,B6,WT,F
Akkermansia_muciniphila,BW4,64,8 Weeks,B6,WT,F
Akkermansia_muciniphila,BW5,38,8 Weeks,B6,WT,F
Akkermansia_muciniphila,BW6,12,8 Weeks,B6,WT,M
Akkermansia_muciniphila,BW7,28,8 Weeks,B6,WT,M
Akkermansia_muciniphila,BW8,248,8 Weeks,B6,WT,M
Akkermansia_muciniphila,BW9,239,8 Weeks,B6,WT,M
Akkermansia_muciniphila,BW10,18,8 Weeks,B6,WT,M
Akkermansia_muciniphila,BW11,93,8 Weeks,B6,WT,M
Akkermansia_muciniphila,AK1,0,20 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK2,0,20 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK3,0,20 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK4,0,20 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK5,0,20 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK6,0,20 Weeks,AJ,KO,F
Akkermansia_muciniphila,AK7,0,20 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK8,0,20 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK9,0,20 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK10,0,20 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK11,0,20 Weeks,AJ,KO,M
Akkermansia_muciniphila,AK12,0,20 Weeks,AJ,KO,M
Akkermansia_muciniphila,AW1,0,20 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW2,0,20 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW3,0,20 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW4,0,20 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW5,0,20 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW6,1,20 Weeks,AJ,WT,F
Akkermansia_muciniphila,AW7,2,20 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW8,0,20 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW9,0,20 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW10,0,20 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW11,0,20 Weeks,AJ,WT,M
Akkermansia_muciniphila,AW12,0,20 Weeks,AJ,WT,M
Akkermansia_muciniphila,BK1,22,20 Weeks,B6,KO,F
Akkermansia_muciniphila,BK2,16,20 Weeks,B6,KO,F
Akkermansia_muciniphila,BK3,77,20 Weeks,B6,KO,F
Akkermansia_muciniphila,BK4,90,20 Weeks,B6,KO,F
Akkermansia_muciniphila,BK5,73,20 Weeks,B6,KO,F
Akkermansia_muciniphila,BK6,45,20 Weeks,B6,KO,F
Akkermansia_muciniphila,BK7,20,20 Weeks,B6,KO,M
Akkermansia_muciniphila,BK8,35,20 Weeks,B6,KO,M
Akkermansia_muciniphila,BK9,78,20 Weeks,B6,KO,M
Akkermansia_muciniphila,BK10,18,20 Weeks,B6,KO,M
Akkermansia_muciniphila,BK11,10,20 Weeks,B6,KO,M
Akkermansia_muciniphila,BK12,2,20 Weeks,B6,KO,M
Akkermansia_muciniphila,BW1,25,20 Weeks,B6,WT,F
Akkermansia_muciniphila,BW2,38,20 Weeks,B6,WT,F
Akkermansia_muciniphila,BW3,43,20 Weeks,B6,WT,F
Akkermansia_muciniphila,BW4,19,20 Weeks,B6,WT,F
Akkermansia_muciniphila,BW5,6,20 Weeks,B6,WT,F
Akkermansia_muciniphila,BW6,5,20 Weeks,B6,WT,F
Akkermansia_muciniphila,BW7,20,20 Weeks,B6,WT,M
Akkermansia_muciniphila,BW8,73,20 Weeks,B6,WT,M
Akkermansia_muciniphila,BW9,15,20 Weeks,B6,WT,M
Akkermansia_muciniphila,BW10,40,20 Weeks,B6,WT,M
Akkermansia_muciniphila,BW11,0,20 Weeks,B6,WT,M
Akkermansia_muciniphila,BW12,0,20 Weeks,B6,WT,M
