Species,Sample,count,Age,Strain,Phenotype,Sex
Bacteroides unclassified,AK1,28,8 Weeks,AJ,KO,F
Bacteroides unclassified,AK2,27,8 Weeks,AJ,KO,F
Bacteroides unclassified,AK3,96,8 Weeks,AJ,KO,F
Bacteroides unclassified,AK4,195,8 Weeks,AJ,KO,F
Bacteroides unclassified,AK5,109,8 Weeks,AJ,KO,F
Bacteroides unclassified,AK6,587,8 Weeks,AJ,KO,M
Bacteroides unclassified,AK7,764,8 Weeks,AJ,KO,M
Bacteroides unclassified,AK8,169,8 Weeks,AJ,KO,M
Bacteroides unclassified,AK9,129,8 Weeks,AJ,KO,M
Bacteroides unclassified,AK10,107,8 Weeks,AJ,KO,M
Bacteroides unclassified,AK11,73,8 Weeks,AJ,KO,M
Bacteroides unclassified,AW1,21,8 Weeks,AJ,WT,F
Bacteroides unclassified,AW2,28,8 Weeks,AJ,WT,F
Bacteroides unclassified,AW3,173,8 Weeks,AJ,WT,F
Bacteroides unclassified,AW4,62,8 Weeks,AJ,WT,F
Bacteroides unclassified,AW5,53,8 Weeks,AJ,WT,F
Bacteroides unclassified,AW6,65,8 Weeks,AJ,WT,M
Bacteroides unclassified,AW7,61,8 Weeks,AJ,WT,M
Bacteroides unclassified,AW8,138,8 Weeks,AJ,WT,M
Bacteroides unclassified,AW9,179,8 Weeks,AJ,WT,M
Bacteroides unclassified,AW10,35,8 Weeks,AJ,WT,M
Bacteroides unclassified,AW11,43,8 Weeks,AJ,WT,M
Bacteroides unclassified,BK1,73,8 Weeks,B6,KO,F
Bacteroides unclassified,BK2,81,8 Weeks,B6,KO,F
Bacteroides unclassified,BK3,28,8 Weeks,B6,KO,F
Bacteroides unclassified,BK4,30,8 Weeks,B6,KO,F
Bacteroides unclassified,BK5,21,8 Weeks,B6,KO,F
Bacteroides unclassified,BK6,99,8 Weeks,B6,KO,M
Bacteroides unclassified,BK7,114,8 Weeks,B6,KO,M
Bacteroides unclassified,BK8,19,8 Weeks,B6,KO,M
Bacteroides unclassified,BK9,0,8 Weeks,B6,KO,M
Bacteroides unclassified,BK10,19,8 Weeks,B6,KO,M
Bacteroides unclassified,BK11,39,8 Weeks,B6,KO,M
Bacteroides unclassified,BW1,5,8 Weeks,B6,WT,F
Bacteroides unclassified,BW2,9,8 Weeks,B6,WT,F
Bacteroides unclassified,BW3,59,8 Weeks,B6,WT,F
Bacteroides unclassified,BW4,12,8 Weeks,B6,WT,F
Bacteroides unclassified,BW5,16,8 Weeks,B6,WT,F
Bacteroides unclassified,BW6,13,8 Weeks,B6,WT,M
Bacteroides unclassified,BW7,3,8 Weeks,B6,WT,M
Bacteroides unclassified,BW8,87,8 Weeks,B6,WT,M
Bacteroides unclassified,BW9,127,8 Weeks,B6,WT,M
Bacteroides unclassified,BW10,189,8 Weeks,B6,WT,M
Bacteroides unclassified,BW11,235,8 Weeks,B6,WT,M
Bacteroides unclassified,AK1,445,20 Weeks,AJ,KO,F
Bacteroides unclassified,AK2,416,20 Weeks,AJ,KO,F
Bacteroides unclassified,AK3,143,20 Weeks,AJ,KO,F
Bacteroides unclassified,AK4,113,20 Weeks,AJ,KO,F
Bacteroides unclassified,AK5,189,20 Weeks,AJ,KO,F
Bacteroides unclassified,AK6,171,20 Weeks,AJ,KO,F
Bacteroides unclassified,AK7,298,20 Weeks,AJ,KO,M
Bacteroides unclassified,AK8,190,20 Weeks,AJ,KO,M
Bacteroides unclassified,AK9,616,20 Weeks,AJ,KO,M
Bacteroides unclassified,AK10,753,20 Weeks,AJ,KO,M
Bacteroides unclassified,AK11,411,20 Weeks,AJ,KO,M
Bacteroides unclassified,AK12,396,20 Weeks,AJ,KO,M
Bacteroides unclassified,AW1,198,20 Weeks,AJ,WT,F
Bacteroides unclassified,AW2,252,20 Weeks,AJ,WT,F
Bacteroides unclassified,AW3,181,20 Weeks,AJ,WT,F
Bacteroides unclassified,AW4,126,20 Weeks,AJ,WT,F
Bacteroides unclassified,AW5,257,20 Weeks,AJ,WT,F
