Species,Sample,count,Age,Strain,Phenotype,Sex
Escherichia coli,AK1,30,8 Weeks,AJ,KO,F
Escherichia coli,AK2,50,8 Weeks,AJ,KO,F
Escherichia coli,AK3,299,8 Weeks,AJ,KO,F
Escherichia coli,AK4,386,8 Weeks,AJ,KO,F
Escherichia coli,AK5,3,8 Weeks,AJ,KO,F
Escherichia coli,AK6,2,8 Weeks,AJ,KO,M
Escherichia coli,AK7,838,8 Weeks,AJ,KO,M
Escherichia coli,AK8,1100,8 Weeks,AJ,KO,M
Escherichia coli,AK9,109,8 Weeks,AJ,KO,M
Escherichia coli,AK10,78,8 Weeks,AJ,KO,M
Escherichia coli,AK11,443,8 Weeks,AJ,KO,M
Escherichia coli,AW1,684,8 Weeks,AJ,WT,F
Escherichia coli,AW2,0,8 Weeks,AJ,WT,F
Escherichia coli,AW3,0,8 Weeks,AJ,WT,F
Escherichia coli,AW4,0,8 Weeks,AJ,WT,F
Escherichia coli,AW5,0,8 Weeks,AJ,WT,F
Escherichia coli,AW6,0,8 Weeks,AJ,WT,M
Escherichia coli,AW7,0,8 Weeks,AJ,WT,M
Escherichia coli,AW8,0,8 Weeks,AJ,WT,M
Escherichia coli,AW9,1,8 Weeks,AJ,WT,M
Escherichia coli,AW10,0,8 Weeks,AJ,WT,M
Escherichia coli,AW11,0,8 Weeks,AJ,WT,M
Escherichia coli,BK1,1,8 Weeks,B6,KO,F
Escherichia coli,BK2,0,8 Weeks,B6,KO,F
Escherichia coli,BK3,0,8 Weeks,B6,KO,F
Escherichia coli,BK4,0,8 Weeks,B6,KO,F
Escherichia coli,BK5,0,8 Weeks,B6,KO,F
Escherichia coli,BK6,0,8 Weeks,B6,KO,M
Escherichia coli,BK7,0,8 Weeks,B6,KO,M
Escherichia coli,BK8,0,8 Weeks,B6,KO,M
Escherichia coli,BK9,0,8 Weeks,B6,KO,M
Escherichia coli,BK10,0,8 Weeks,B6,KO,M
Escherichia coli,BK11,0,8 Weeks,B6,KO,M
Escherichia coli,BW1,0,8 Weeks,B6,WT,F
Escherichia coli,BW2,0,8 Weeks,B6,WT,F
Escherichia coli,BW3,0,8 Weeks,B6,WT,F
Escherichia coli,BW4,0,8 Weeks,B6,WT,F
Escherichia coli,BW5,0,8 Weeks,B6,WT,F
Escherichia coli,BW6,0,8 Weeks,B6,WT,M
Escherichia coli,BW7,0,8 Weeks,B6,WT,M
Escherichia coli,BW8,1,8 Weeks,B6,WT,M
Escherichia coli,BW9,0,8 Weeks,B6,WT,M
Escherichia coli,BW10,0,8 Weeks,B6,WT,M
Escherichia coli,BW11,0,8 Weeks,B6,WT,M
Escherichia coli,AK1,0,20 Weeks,AJ,KO,F
Escherichia coli,AK2,0,20 Weeks,AJ,KO,F
Escherichia coli,AK3,0,20 Weeks,AJ,KO,F
Escherichia coli,AK4,1,20 Weeks,AJ,KO,F
Escherichia coli,AK5,0,20 Weeks,AJ,KO,F
Escherichia coli,AK6,2,20 Weeks,AJ,KO,F
Escherichia coli,AK7,0,20 Weeks,AJ,KO,M
Escherichia coli,AK8,0,20 Weeks,AJ,KO,M
Escherichia coli,AK9,3,20 Weeks,AJ,KO,M
Escherichia coli,AK10,0,20 Weeks,AJ,KO,M
Escherichia coli,AK11,1,20 Weeks,AJ,KO,M
Escherichia coli,AK12,0,20 Weeks,AJ,KO,M
Escherichia coli,AW1,0,20 Weeks,AJ,WT,F
Escherichia coli,AW2,0,20 Weeks,AJ,WT,F
Escherichia coli,AW3,0,20 Weeks,AJ,WT,F
Escherichia coli,AW4,0,20 Weeks,AJ,WT,F
Escherichia coli,AW5,0,20 Weeks,AJ,WT,F
Escherichia coli,AW6,0,20 Weeks,AJ,WT,F
Escherichia coli,AW7,0,20 Weeks,AJ,WT,M
Escherichia coli,AW8,0,20 Weeks,AJ,WT,M
Escherichia coli,AW9,0,20 Weeks,AJ,WT,M
Escherichia coli,AW10,0,20 Weeks,AJ,WT,M
Escherichia coli,AW11,0,20 Weeks,AJ,WT,M
Escherichia coli,AW12,0,20 Weeks,AJ,WT,M
Escherichia coli,BK1,0,20 Weeks,B6,KO,F
Escherichia coli,BK2,0,20 Weeks,B6,KO,F
Escherichia coli,BK3,0,20 Weeks,B6,KO,F
Escherichia coli,BK4,0,20 Weeks,B6,KO,F
Escherichia coli,BK5,0,20 Weeks,B6,KO,F
Escherichia coli,BK6,0,20 Weeks,B6,KO,F
Escherichia coli,BK7,1,20 Weeks,B6,KO,M
Escherichia coli,BK8,0,20 Weeks,B6,KO,M
Escherichia coli,BK9,0,20 Weeks,B6,KO,M
Escherichia coli,BK10,0,20 Weeks,B6,KO,M
Escherichia coli,BK11,0,20 Weeks,B6,KO,M
Escherichia coli,BK12,0,20 Weeks,B6,KO,M
Escherichia coli,BW1,0,20 Weeks,B6,WT,F
Escherichia coli,BW2,0,20 Weeks,B6,WT,F
Escherichia coli,BW3,2,20 Weeks,B6,WT,F
Escherichia coli,BW4,0,20 Weeks,B6,WT,F
Escherichia coli,BW5,0,20 Weeks,B6,WT,F
Escherichia coli,BW6,0,20 Weeks,B6,WT,F
Escherichia coli,BW7,0,20 Weeks,B6,WT,M
Escherichia coli,BW8,0,20 Weeks,B6,WT,M
Escherichia coli,BW9,0,20 Weeks,B6,WT,M
Escherichia coli,BW10,0,20 Weeks,B6,WT,M
Escherichia coli,BW11,7,20 Weeks,B6,WT,M
Escherichia coli,BW12,19,20 Weeks,B6,WT,M
