Species,Sample,count,Age,Strain,Phenotype,Sex
Prevotella unclassified,AK1,14,8 Weeks,AJ,KO,F
Prevotella unclassified,AK2,19,8 Weeks,AJ,KO,F
Prevotella unclassified,AK3,21,8 Weeks,AJ,KO,F
Prevotella unclassified,AK4,39,8 Weeks,AJ,KO,F
Prevotella unclassified,AK5,10,8 Weeks,AJ,KO,F
Prevotella unclassified,AK6,1,8 Weeks,AJ,KO,M
Prevotella unclassified,AK7,0,8 Weeks,AJ,KO,M
Prevotella unclassified,AK8,103,8 Weeks,AJ,KO,M
Prevotella unclassified,AK9,119,8 Weeks,AJ,KO,M
Prevotella unclassified,AK10,23,8 Weeks,AJ,KO,M
Prevotella unclassified,AK11,17,8 Weeks,AJ,KO,M
Prevotella unclassified,AW1,30,8 Weeks,AJ,WT,F
Prevotella unclassified,AW2,21,8 Weeks,AJ,WT,F
Prevotella unclassified,AW3,55,8 Weeks,AJ,WT,F
Prevotella unclassified,AW4,43,8 Weeks,AJ,WT,F
Prevotella unclassified,AW5,40,8 Weeks,AJ,WT,F
Prevotella unclassified,AW6,25,8 Weeks,AJ,WT,M
Prevotella unclassified,AW7,20,8 Weeks,AJ,WT,M
Prevotella unclassified,AW8,39,8 Weeks,AJ,WT,M
Prevotella unclassified,AW9,44,8 Weeks,AJ,WT,M
Prevotella unclassified,AW10,13,8 Weeks,AJ,WT,M
Prevotella unclassified,AW11,15,8 Weeks,AJ,WT,M
Prevotella unclassified,BK1,242,8 Weeks,B6,KO,F
Prevotella unclassified,BK2,206,8 Weeks,B6,KO,F
Prevotella unclassified,BK3,475,8 Weeks,B6,KO,F
Prevotella unclassified,BK4,568,8 Weeks,B6,KO,F
Prevotella unclassified,BK5,334,8 Weeks,B6,KO,F
Prevotella unclassified,BK6,231,8 Weeks,B6,KO,M
Prevotella unclassified,BK7,247,8 Weeks,B6,KO,M
Prevotella unclassified,BK8,95,8 Weeks,B6,KO,M
Prevotella unclassified,BK9,0,8 Weeks,B6,KO,M
Prevotella unclassified,BK10,172,8 Weeks,B6,KO,M
Prevotella unclassified,BK11,177,8 Weeks,B6,KO,M
Prevotella unclassified,BW1,165,8 Weeks,B6,WT,F
Prevotella unclassified,BW2,142,8 Weeks,B6,WT,F
Prevotella unclassified,BW3,337,8 Weeks,B6,WT,F
Prevotella unclassified,BW4,135,8 Weeks,B6,WT,F
Prevotella unclassified,BW5,152,8 Weeks,B6,WT,F
Prevotella unclassified,BW6,135,8 Weeks,B6,WT,M
Prevotella unclassified,BW7,122,8 Weeks,B6,WT,M
Prevotella unclassified,BW8,148,8 Weeks,B6,WT,M
Prevotella unclassified,BW9,200,8 Weeks,B6,WT,M
Prevotella unclassified,BW10,139,8 Weeks,B6,WT,M
Prevotella unclassified,BW11,201,8 Weeks,B6,WT,M
Prevotella unclassified,AK1,2,20 Weeks,AJ,KO,F
Prevotella unclassified,AK2,2,20 Weeks,AJ,KO,F
Prevotella unclassified,AK3,1,20 Weeks,AJ,KO,F
Prevotella unclassified,AK4,1,20 Weeks,AJ,KO,F
Prevotella unclassified,AK5,2,20 Weeks,AJ,KO,F
Prevotella unclassified,AK6,1,20 Weeks,AJ,KO,F
Prevotella unclassified,AK7,0,20 Weeks,AJ,KO,M
Prevotella unclassified,AK8,1,20 Weeks,AJ,KO,M
Prevotella unclassified,AK9,1,20 Weeks,AJ,KO,M
Prevotella unclassified,AK10,0,20 Weeks,AJ,KO,M
Prevotella unclassified,AK11,0,20 Weeks,AJ,KO,M
Prevotella unclassified,AK12,0,20 Weeks,AJ,KO,M
Prevotella unclassified,AW1,41,20 Weeks,AJ,WT,F
Prevotella unclassified,AW2,51,20 Weeks,AJ,WT,F
Prevotella unclassified,AW3,85,20 Weeks,AJ,WT,F
Prevotella unclassified,AW4,49,20 Weeks,AJ,WT,F
Prevotella unclassified,AW5,16,20 Weeks,AJ,WT,F
Prevotella unclassified,AW6,42,20 Weeks,AJ,WT,F
Prevotella unclassified,AW7,190,20 Weeks,AJ,WT,M
Prevotella unclassified,AW8,106,20 Weeks,AJ,WT,M
Prevotella unclassified,AW9,22,20 Weeks,AJ,WT,M
Prevotella unclassified,AW10,34,20 Weeks,AJ,WT,M
Prevotella unclassified,AW11,108,20 Weeks,AJ,WT,M
Prevotella unclassified,AW12,238,20 Weeks,AJ,WT,M
Prevotella unclassified,BK1,392,20 Weeks,B6,KO,F
Prevotella unclassified,BK2,350,20 Weeks,B6,KO,F
Prevotella unclassified,BK3,333,20 Weeks,B6,KO,F
Prevotella unclassified,BK4,305,20 Weeks,B6,KO,F
Prevotella unclassified,BK5,244,20 Weeks,B6,KO,F
Prevotella unclassified,BK6,231,20 Weeks,B6,KO,F
Prevotella unclassified,BK7,354,20 Weeks,B6,KO,M
Prevotella unclassified,BK8,501,20 Weeks,B6,KO,M
Prevotella unclassified,BK9,247,20 Weeks,B6,KO,M
Prevotella unclassified,BK10,329,20 Weeks,B6,KO,M
Prevotella unclassified,BK11,393,20 Weeks,B6,KO,M
Prevotella unclassified,BK12,869,20 Weeks,B6,KO,M
Prevotella unclassified,BW1,98,20 Weeks,B6,WT,F
Prevotella unclassified,BW2,63,20 Weeks,B6,WT,F
Prevotella unclassified,BW3,66,20 Weeks,B6,WT,F
Prevotella unclassified,BW4,55,20 Weeks,B6,WT,F
Prevotella unclassified,BW5,41,20 Weeks,B6,WT,F
Prevotella unclassified,BW6,27,20 Weeks,B6,WT,F
Prevotella unclassified,BW7,102,20 Weeks,B6,WT,M
Prevotella unclassified,BW8,159,20 Weeks,B6,WT,M
Prevotella unclassified,BW9,263,20 Weeks,B6,WT,M
Prevotella unclassified,BW10,225,20 Weeks,B6,WT,M
Prevotella unclassified,BW11,240,20 Weeks,B6,WT,M
Prevotella unclassified,BW12,261,20 Weeks,B6,WT,M
