taxlevel,Class,rankID,Order,daughterlevels,total,20_AKF_8733_1,20_AKF_8733_2,20_AKF_8738_1,20_AKF_8738_2,20_AKF_8802_1,20_AKF_8802_2,20_AKM_8768_1,20_AKM_8768_2,20_AKM_8769_1,20_AKM_8769_2,20_AKM_8771_1,20_AKM_8771_2,20_AWF_8736_1,20_AWF_8736_2,20_AWF_8797_1,20_AWF_8797_2,20_AWF_9005_1,20_AWF_9005_2,20_AWM_8728_1,20_AWM_8728_2,20_AWM_8730_1,20_AWM_8730_2,20_AWM_8766_1,20_AWM_8766_2,20_BKF_8726_1,20_BKF_8726_2,20_BKF_8926_1,20_BKF_8926_2,20_BKF_8927_1,20_BKF_8927_2,20_BKM_8719_1,20_BKM_8719_2,20_BKM_8859_1,20_BKM_8859_2,20_BKM_8860_1,20_BKM_8860_2,20_BWF_8754_1,20_BWF_8754_2,20_BWF_8755_1,20_BWF_8755_2,20_BWF_8852_1,20_BWF_8852_2,20_BWM_8745_1,20_BWM_8745_2,20_BWM_8747_1,20_BWM_8747_2,20_BWM_8847_1,20_BWM_8847_2,8_AKF_8733_1,8_AKF_8733_2,8_AKF_8738_1,8_AKF_8738_2,8_AKF_8802_1,8_AKM_8768_1,8_AKM_8768_2,8_AKM_8769_1,8_AKM_8769_2,8_AKM_8771_1,8_AKM_8771_2,8_AWF_8736_1,8_AWF_8736_2,8_AWF_8797_1,8_AWF_9005_1,8_AWF_9005_2,8_AWM_8728_1,8_AWM_8728_2,8_AWM_8730_1,8_AWM_8730_2,8_AWM_8766_1,8_AWM_8766_2,8_BKF_8726_1,8_BKF_8726_2,8_BKF_8926_1,8_BKF_8926_2,8_BKF_8927_1,8_BKM_8719_1,8_BKM_8719_2,8_BKM_8859_1,8_BKM_8859_2,8_BKM_8860_1,8_BKM_8860_2,8_BWF_8754_1,8_BWF_8754_2,8_BWF_8755_1,8_BWF_8852_1,8_BWF_8852_2,8_BWM_8745_1,8_BWM_8745_2,8_BWM_8747_1,8_BWM_8747_2,8_BWM_8847_1,8_BWM_8847_2
4,Alphaproteobacteria,0.1.8.1.1,Alphaproteobacteria_unclassified,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
4,Alphaproteobacteria,0.1.8.1.2,Caulobacterales,1,16,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1
4,Alphaproteobacteria,0.1.8.1.3,Holosporales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Alphaproteobacteria,0.1.8.1.4,Kiloniellales,1,318,10,9,2,3,4,0,4,12,2,4,11,16,2,1,2,1,0,2,1,1,1,0,3,0,1,0,1,0,0,1,1,2,0,5,1,0,5,3,0,0,1,2,1,1,0,1,2,1,0,0,2,4,0,0,0,1,0,0,0,4,3,1,0,0,12,2,9,4,0,0,6,3,4,7,2,3,10,3,0,20,49,2,5,7,2,0,4,0,3,0,14,12
4,Alphaproteobacteria,0.1.8.1.5,Kordiimonadales,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,5,3,0,0
4,Alphaproteobacteria,0.1.8.1.6,Parvularculales,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,Alphaproteobacteria,0.1.8.1.7,Rhizobiales,9,472,11,9,1,6,1,1,3,1,2,3,5,17,3,2,1,0,0,0,2,2,12,6,1,1,1,0,6,4,4,3,5,12,4,13,5,3,2,4,1,1,0,1,3,3,0,3,2,6,0,0,1,4,2,0,0,1,2,1,0,0,1,2,3,2,22,6,6,8,3,0,9,3,12,5,7,5,20,3,0,11,27,0,0,3,6,2,47,17,19,26,4,6
4,Alphaproteobacteria,0.1.8.1.8,Rhodobacterales,2,48,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
4,Alphaproteobacteria,0.1.8.1.9,Rhodospirillales,2,2363,62,60,20,27,11,3,79,40,24,33,95,162,11,1,0,0,0,0,9,10,14,14,3,6,2,6,5,3,0,2,13,28,9,24,1,7,13,0,0,1,3,10,5,14,4,1,5,6,0,0,16,37,0,1,0,20,25,0,4,8,7,2,1,4,85,44,96,118,16,3,9,11,21,31,8,40,75,5,0,124,286,1,18,13,2,2,133,22,17,20,77,115
4,Alphaproteobacteria,0.1.8.1.10,Sphingomonadales,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4,Betaproteobacteria,0.1.8.2.1,Burkholderiales,7,19367,355,338,400,501,2122,1264,492,742,610,538,579,729,0,7,37,34,0,1,47,50,43,51,9,6,138,118,63,38,31,37,261,180,25,33,65,36,246,154,207,641,480,528,407,221,78,46,93,110,31,38,39,38,24,135,135,72,85,16,24,30,35,16,9,8,57,53,19,27,206,33,208,241,33,42,57,78,96,56,1,190,260,295,677,188,549,653,244,153,142,212,273,397
4,Betaproteobacteria,0.1.8.2.2,Neisseriales,1,278,0,0,0,0,1,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0
4,Betaproteobacteria,0.1.8.2.3,Nitrosomonadales,3,12,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Betaproteobacteria,0.1.8.2.4,Unknown_order,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Deltaproteobacteria,0.1.8.3.1,Desulfobacterales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
