Order,Sample,count,Age,Strain,Phenotype,Sex,Class
Caulobacterales,AK1,0.0625,8 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK2,0.0625,8 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK3,0.0625,8 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK4,0,8 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK5,0,8 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK6,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK7,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK8,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK9,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK10,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK11,0.0625,8 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AW1,0.0625,8 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW2,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW3,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW4,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW5,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW6,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW7,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW8,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW9,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW10,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW11,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,BK1,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK2,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK3,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK4,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK5,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK6,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK7,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK8,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK9,0.0625,8 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK10,0.0625,8 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK11,0.0625,8 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BW1,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW2,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW3,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW4,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW5,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW6,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW7,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW8,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW9,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW10,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW11,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,AK1,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK2,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK3,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK4,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK5,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK6,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Caulobacterales,AK7,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK8,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK9,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK10,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK11,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AK12,0.0625,20 Weeks,AJ,KO,M,Alphaproteobacteria
Caulobacterales,AW1,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW2,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW3,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW4,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW5,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW6,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Caulobacterales,AW7,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW8,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW9,0.0625,20 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW10,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW11,0.0625,20 Weeks,AJ,WT,M,Alphaproteobacteria
Caulobacterales,AW12,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
