,Phylum,Sample,count,Level,Age,Strain,Phenotype,Sex
1,Actinobacteria,AK1,0.009789157,Phylum,8 Weeks,AJ,KO,F
2,Actinobacteria,AK2,0.009789157,Phylum,8 Weeks,AJ,KO,F
3,Actinobacteria,AK3,0.008283133,Phylum,8 Weeks,AJ,KO,F
4,Actinobacteria,AK4,0.005271084,Phylum,8 Weeks,AJ,KO,F
5,Actinobacteria,AK5,0.00376506,Phylum,8 Weeks,AJ,KO,F
6,Actinobacteria,AK6,0.03313253,Phylum,8 Weeks,AJ,KO,M
7,Actinobacteria,AK7,0.024096386,Phylum,8 Weeks,AJ,KO,M
8,Actinobacteria,AK8,0.004518072,Phylum,8 Weeks,AJ,KO,M
9,Actinobacteria,AK9,0,Phylum,8 Weeks,AJ,KO,M
10,Actinobacteria,AK10,0.021837349,Phylum,8 Weeks,AJ,KO,M
11,Actinobacteria,AK11,0.005271084,Phylum,8 Weeks,AJ,KO,M
12,Actinobacteria,AW1,0.024849398,Phylum,8 Weeks,AJ,WT,F
13,Actinobacteria,AW2,0.03313253,Phylum,8 Weeks,AJ,WT,F
14,Actinobacteria,AW3,0.009036145,Phylum,8 Weeks,AJ,WT,F
15,Actinobacteria,AW4,0.030120482,Phylum,8 Weeks,AJ,WT,F
16,Actinobacteria,AW5,0.016566265,Phylum,8 Weeks,AJ,WT,F
17,Actinobacteria,AW6,0.001506024,Phylum,8 Weeks,AJ,WT,M
18,Actinobacteria,AW7,0.002259036,Phylum,8 Weeks,AJ,WT,M
19,Actinobacteria,AW8,0.009036145,Phylum,8 Weeks,AJ,WT,M
20,Actinobacteria,AW9,0.00753012,Phylum,8 Weeks,AJ,WT,M
21,Actinobacteria,AW10,0.028614458,Phylum,8 Weeks,AJ,WT,M
22,Actinobacteria,AW11,0.012801205,Phylum,8 Weeks,AJ,WT,M
23,Actinobacteria,BK1,0.00753012,Phylum,8 Weeks,B6,KO,F
24,Actinobacteria,BK2,0.003012048,Phylum,8 Weeks,B6,KO,F
25,Actinobacteria,BK3,0.00753012,Phylum,8 Weeks,B6,KO,F
26,Actinobacteria,BK4,0.006024096,Phylum,8 Weeks,B6,KO,F
27,Actinobacteria,BK5,0.00753012,Phylum,8 Weeks,B6,KO,F
28,Actinobacteria,BK6,0.009036145,Phylum,8 Weeks,B6,KO,M
29,Actinobacteria,BK7,0.015060241,Phylum,8 Weeks,B6,KO,M
30,Actinobacteria,BK8,0.021084337,Phylum,8 Weeks,B6,KO,M
31,Actinobacteria,BK9,0,Phylum,8 Weeks,B6,KO,M
32,Actinobacteria,BK10,0.018072289,Phylum,8 Weeks,B6,KO,M
33,Actinobacteria,BK11,0.003012048,Phylum,8 Weeks,B6,KO,M
34,Actinobacteria,BW1,0.017319277,Phylum,8 Weeks,B6,WT,F
35,Actinobacteria,BW2,0.05873494,Phylum,8 Weeks,B6,WT,F
36,Actinobacteria,BW3,0.00376506,Phylum,8 Weeks,B6,WT,F
37,Actinobacteria,BW4,0.010542169,Phylum,8 Weeks,B6,WT,F
38,Actinobacteria,BW5,0.004518072,Phylum,8 Weeks,B6,WT,F
39,Actinobacteria,BW6,0.022590361,Phylum,8 Weeks,B6,WT,M
40,Actinobacteria,BW7,0.006024096,Phylum,8 Weeks,B6,WT,M
41,Actinobacteria,BW8,0.011295181,Phylum,8 Weeks,B6,WT,M
42,Actinobacteria,BW9,0.006777108,Phylum,8 Weeks,B6,WT,M
43,Actinobacteria,BW10,0.003012048,Phylum,8 Weeks,B6,WT,M
44,Actinobacteria,BW11,0.005271084,Phylum,8 Weeks,B6,WT,M
45,Actinobacteria,AK1,0,Phylum,20 Weeks,AJ,KO,F
46,Actinobacteria,AK2,0,Phylum,20 Weeks,AJ,KO,F
47,Actinobacteria,AK3,0,Phylum,20 Weeks,AJ,KO,F
48,Actinobacteria,AK4,0,Phylum,20 Weeks,AJ,KO,F
49,Actinobacteria,AK5,0.009789157,Phylum,20 Weeks,AJ,KO,F
50,Actinobacteria,AK6,0.008283133,Phylum,20 Weeks,AJ,KO,F
51,Actinobacteria,AK7,0,Phylum,20 Weeks,AJ,KO,M
52,Actinobacteria,AK8,0,Phylum,20 Weeks,AJ,KO,M
53,Actinobacteria,AK9,0,Phylum,20 Weeks,AJ,KO,M
54,Actinobacteria,AK10,0,Phylum,20 Weeks,AJ,KO,M
55,Actinobacteria,AK11,0,Phylum,20 Weeks,AJ,KO,M
56,Actinobacteria,AK12,0,Phylum,20 Weeks,AJ,KO,M
57,Actinobacteria,AW1,0.00753012,Phylum,20 Weeks,AJ,WT,F
58,Actinobacteria,AW2,0.021837349,Phylum,20 Weeks,AJ,WT,F
59,Actinobacteria,AW3,0.006777108,Phylum,20 Weeks,AJ,WT,F
60,Actinobacteria,AW4,0.013554217,Phylum,20 Weeks,AJ,WT,F
61,Actinobacteria,AW5,0.003012048,Phylum,20 Weeks,AJ,WT,F
62,Actinobacteria,AW6,0.00376506,Phylum,20 Weeks,AJ,WT,F
63,Actinobacteria,AW7,0.003012048,Phylum,20 Weeks,AJ,WT,M
64,Actinobacteria,AW8,0.006777108,Phylum,20 Weeks,AJ,WT,M
65,Actinobacteria,AW9,0.001506024,Phylum,20 Weeks,AJ,WT,M
66,Actinobacteria,AW10,0.00376506,Phylum,20 Weeks,AJ,WT,M
67,Actinobacteria,AW11,0.011295181,Phylum,20 Weeks,AJ,WT,M
68,Actinobacteria,AW12,0.014307229,Phylum,20 Weeks,AJ,WT,M
69,Actinobacteria,BK1,0.012801205,Phylum,20 Weeks,B6,KO,F
70,Actinobacteria,BK2,0.019578313,Phylum,20 Weeks,B6,KO,F
71,Actinobacteria,BK3,0.010542169,Phylum,20 Weeks,B6,KO,F
72,Actinobacteria,BK4,0.010542169,Phylum,20 Weeks,B6,KO,F
73,Actinobacteria,BK5,0.006024096,Phylum,20 Weeks,B6,KO,F
74,Actinobacteria,BK6,0.004518072,Phylum,20 Weeks,B6,KO,F
75,Actinobacteria,BK7,0.033885542,Phylum,20 Weeks,B6,KO,M
76,Actinobacteria,BK8,0.018825301,Phylum,20 Weeks,B6,KO,M
77,Actinobacteria,BK9,0.006024096,Phylum,20 Weeks,B6,KO,M
78,Actinobacteria,BK10,0.00376506,Phylum,20 Weeks,B6,KO,M
79,Actinobacteria,BK11,0.020331325,Phylum,20 Weeks,B6,KO,M
80,Actinobacteria,BK12,0.00376506,Phylum,20 Weeks,B6,KO,M
81,Actinobacteria,BW1,0.006024096,Phylum,20 Weeks,B6,WT,F
82,Actinobacteria,BW2,0.008283133,Phylum,20 Weeks,B6,WT,F
83,Actinobacteria,BW3,0.013554217,Phylum,20 Weeks,B6,WT,F
84,Actinobacteria,BW4,0.027108434,Phylum,20 Weeks,B6,WT,F
85,Actinobacteria,BW5,0.009789157,Phylum,20 Weeks,B6,WT,F
86,Actinobacteria,BW6,0.012048193,Phylum,20 Weeks,B6,WT,F
87,Actinobacteria,BW7,0.039909639,Phylum,20 Weeks,B6,WT,M
88,Actinobacteria,BW8,0.013554217,Phylum,20 Weeks,B6,WT,M
89,Actinobacteria,BW9,0.030120482,Phylum,20 Weeks,B6,WT,M
90,Actinobacteria,BW10,0.012801205,Phylum,20 Weeks,B6,WT,M
91,Actinobacteria,BW11,0.006777108,Phylum,20 Weeks,B6,WT,M
92,Actinobacteria,BW12,0.005271084,Phylum,20 Weeks,B6,WT,M
93,Bacteria_unclassified,AK1,0.002012072,Phylum,8 Weeks,AJ,KO,F
94,Bacteria_unclassified,AK2,0,Phylum,8 Weeks,AJ,KO,F
95,Bacteria_unclassified,AK3,0.072434608,Phylum,8 Weeks,AJ,KO,F
96,Bacteria_unclassified,AK4,0.006036217,Phylum,8 Weeks,AJ,KO,F
97,Bacteria_unclassified,AK5,0.004024145,Phylum,8 Weeks,AJ,KO,F
98,Bacteria_unclassified,AK6,0.028169014,Phylum,8 Weeks,AJ,KO,M
99,Bacteria_unclassified,AK7,0.028169014,Phylum,8 Weeks,AJ,KO,M
100,Bacteria_unclassified,AK8,0.002012072,Phylum,8 Weeks,AJ,KO,M
101,Bacteria_unclassified,AK9,0.014084507,Phylum,8 Weeks,AJ,KO,M
102,Bacteria_unclassified,AK10,0.052313883,Phylum,8 Weeks,AJ,KO,M
103,Bacteria_unclassified,AK11,0.07444668,Phylum,8 Weeks,AJ,KO,M
104,Bacteria_unclassified,AW1,0,Phylum,8 Weeks,AJ,WT,F
105,Bacteria_unclassified,AW2,0.006036217,Phylum,8 Weeks,AJ,WT,F
106,Bacteria_unclassified,AW3,0,Phylum,8 Weeks,AJ,WT,F
107,Bacteria_unclassified,AW4,0,Phylum,8 Weeks,AJ,WT,F
108,Bacteria_unclassified,AW5,0.002012072,Phylum,8 Weeks,AJ,WT,F
109,Bacteria_unclassified,AW6,0,Phylum,8 Weeks,AJ,WT,M
110,Bacteria_unclassified,AW7,0.002012072,Phylum,8 Weeks,AJ,WT,M
111,Bacteria_unclassified,AW8,0.002012072,Phylum,8 Weeks,AJ,WT,M
112,Bacteria_unclassified,AW9,0.002012072,Phylum,8 Weeks,AJ,WT,M
113,Bacteria_unclassified,AW10,0.062374245,Phylum,8 Weeks,AJ,WT,M
114,Bacteria_unclassified,AW11,0.00804829,Phylum,8 Weeks,AJ,WT,M
115,Bacteria_unclassified,BK1,0,Phylum,8 Weeks,B6,KO,F
116,Bacteria_unclassified,BK2,0.004024145,Phylum,8 Weeks,B6,KO,F
117,Bacteria_unclassified,BK3,0.14084507,Phylum,8 Weeks,B6,KO,F
118,Bacteria_unclassified,BK4,0.070422535,Phylum,8 Weeks,B6,KO,F
119,Bacteria_unclassified,BK5,0.002012072,Phylum,8 Weeks,B6,KO,F
120,Bacteria_unclassified,BK6,0,Phylum,8 Weeks,B6,KO,M
121,Bacteria_unclassified,BK7,0,Phylum,8 Weeks,B6,KO,M
122,Bacteria_unclassified,BK8,0.040241449,Phylum,8 Weeks,B6,KO,M
123,Bacteria_unclassified,BK9,0,Phylum,8 Weeks,B6,KO,M
124,Bacteria_unclassified,BK10,0,Phylum,8 Weeks,B6,KO,M
125,Bacteria_unclassified,BK11,0,Phylum,8 Weeks,B6,KO,M
126,Bacteria_unclassified,BW1,0.006036217,Phylum,8 Weeks,B6,WT,F
127,Bacteria_unclassified,BW2,0.012072435,Phylum,8 Weeks,B6,WT,F
128,Bacteria_unclassified,BW3,0.006036217,Phylum,8 Weeks,B6,WT,F
129,Bacteria_unclassified,BW4,0,Phylum,8 Weeks,B6,WT,F
130,Bacteria_unclassified,BW5,0.002012072,Phylum,8 Weeks,B6,WT,F
131,Bacteria_unclassified,BW6,0.00804829,Phylum,8 Weeks,B6,WT,M
132,Bacteria_unclassified,BW7,0.004024145,Phylum,8 Weeks,B6,WT,M
133,Bacteria_unclassified,BW8,0.012072435,Phylum,8 Weeks,B6,WT,M
134,Bacteria_unclassified,BW9,0,Phylum,8 Weeks,B6,WT,M
135,Bacteria_unclassified,BW10,0,Phylum,8 Weeks,B6,WT,M
136,Bacteria_unclassified,BW11,0,Phylum,8 Weeks,B6,WT,M
137,Bacteria_unclassified,AK1,0,Phylum,20 Weeks,AJ,KO,F
138,Bacteria_unclassified,AK2,0,Phylum,20 Weeks,AJ,KO,F
139,Bacteria_unclassified,AK3,0,Phylum,20 Weeks,AJ,KO,F
140,Bacteria_unclassified,AK4,0,Phylum,20 Weeks,AJ,KO,F
141,Bacteria_unclassified,AK5,0,Phylum,20 Weeks,AJ,KO,F
142,Bacteria_unclassified,AK6,0.002012072,Phylum,20 Weeks,AJ,KO,F
143,Bacteria_unclassified,AK7,0,Phylum,20 Weeks,AJ,KO,M
144,Bacteria_unclassified,AK8,0,Phylum,20 Weeks,AJ,KO,M
145,Bacteria_unclassified,AK9,0,Phylum,20 Weeks,AJ,KO,M
146,Bacteria_unclassified,AK10,0,Phylum,20 Weeks,AJ,KO,M
147,Bacteria_unclassified,AK11,0,Phylum,20 Weeks,AJ,KO,M
148,Bacteria_unclassified,AK12,0,Phylum,20 Weeks,AJ,KO,M
149,Bacteria_unclassified,AW1,0,Phylum,20 Weeks,AJ,WT,F
150,Bacteria_unclassified,AW2,0,Phylum,20 Weeks,AJ,WT,F
151,Bacteria_unclassified,AW3,0,Phylum,20 Weeks,AJ,WT,F
152,Bacteria_unclassified,AW4,0,Phylum,20 Weeks,AJ,WT,F
153,Bacteria_unclassified,AW5,0,Phylum,20 Weeks,AJ,WT,F
154,Bacteria_unclassified,AW6,0,Phylum,20 Weeks,AJ,WT,F
155,Bacteria_unclassified,AW7,0.002012072,Phylum,20 Weeks,AJ,WT,M
156,Bacteria_unclassified,AW8,0.002012072,Phylum,20 Weeks,AJ,WT,M
157,Bacteria_unclassified,AW9,0,Phylum,20 Weeks,AJ,WT,M
158,Bacteria_unclassified,AW10,0,Phylum,20 Weeks,AJ,WT,M
159,Bacteria_unclassified,AW11,0.002012072,Phylum,20 Weeks,AJ,WT,M
160,Bacteria_unclassified,AW12,0,Phylum,20 Weeks,AJ,WT,M
161,Bacteria_unclassified,BK1,0.002012072,Phylum,20 Weeks,B6,KO,F
162,Bacteria_unclassified,BK2,0.004024145,Phylum,20 Weeks,B6,KO,F
163,Bacteria_unclassified,BK3,0.002012072,Phylum,20 Weeks,B6,KO,F
164,Bacteria_unclassified,BK4,0,Phylum,20 Weeks,B6,KO,F
165,Bacteria_unclassified,BK5,0.028169014,Phylum,20 Weeks,B6,KO,F
166,Bacteria_unclassified,BK6,0.026156942,Phylum,20 Weeks,B6,KO,F
167,Bacteria_unclassified,BK7,0,Phylum,20 Weeks,B6,KO,M
168,Bacteria_unclassified,BK8,0,Phylum,20 Weeks,B6,KO,M
169,Bacteria_unclassified,BK9,0.078470825,Phylum,20 Weeks,B6,KO,M
170,Bacteria_unclassified,BK10,0.040241449,Phylum,20 Weeks,B6,KO,M
171,Bacteria_unclassified,BK11,0.020120724,Phylum,20 Weeks,B6,KO,M
172,Bacteria_unclassified,BK12,0.006036217,Phylum,20 Weeks,B6,KO,M
173,Bacteria_unclassified,BW1,0.00804829,Phylum,20 Weeks,B6,WT,F
174,Bacteria_unclassified,BW2,0.004024145,Phylum,20 Weeks,B6,WT,F
175,Bacteria_unclassified,BW3,0,Phylum,20 Weeks,B6,WT,F
176,Bacteria_unclassified,BW4,0,Phylum,20 Weeks,B6,WT,F
177,Bacteria_unclassified,BW5,0,Phylum,20 Weeks,B6,WT,F
178,Bacteria_unclassified,BW6,0.002012072,Phylum,20 Weeks,B6,WT,F
179,Bacteria_unclassified,BW7,0.048289738,Phylum,20 Weeks,B6,WT,M
180,Bacteria_unclassified,BW8,0.006036217,Phylum,20 Weeks,B6,WT,M
181,Bacteria_unclassified,BW9,0.018108652,Phylum,20 Weeks,B6,WT,M
182,Bacteria_unclassified,BW10,0.022132797,Phylum,20 Weeks,B6,WT,M
183,Bacteria_unclassified,BW11,0,Phylum,20 Weeks,B6,WT,M
184,Bacteria_unclassified,BW12,0,Phylum,20 Weeks,B6,WT,M
185,Bacteroidetes,AK1,0.0110337,Phylum,8 Weeks,AJ,KO,F
186,Bacteroidetes,AK2,0.008969397,Phylum,8 Weeks,AJ,KO,F
187,Bacteroidetes,AK3,0.009485472,Phylum,8 Weeks,AJ,KO,F
188,Bacteroidetes,AK4,0.009237756,Phylum,8 Weeks,AJ,KO,F
189,Bacteroidetes,AK5,0.008659751,Phylum,8 Weeks,AJ,KO,F
190,Bacteroidetes,AK6,0.016018992,Phylum,8 Weeks,AJ,KO,M
191,Bacteroidetes,AK7,0.02145843,Phylum,8 Weeks,AJ,KO,M
192,Bacteroidetes,AK8,0.009650617,Phylum,8 Weeks,AJ,KO,M
193,Bacteroidetes,AK9,0.011622026,Phylum,8 Weeks,AJ,KO,M
194,Bacteroidetes,AK10,0.007503742,Phylum,8 Weeks,AJ,KO,M
195,Bacteroidetes,AK11,0.006657377,Phylum,8 Weeks,AJ,KO,M
196,Bacteroidetes,AW1,0.009155184,Phylum,8 Weeks,AJ,WT,F
197,Bacteroidetes,AW2,0.012747071,Phylum,8 Weeks,AJ,WT,F
198,Bacteroidetes,AW3,0.00919647,Phylum,8 Weeks,AJ,WT,F
199,Bacteroidetes,AW4,0.00796821,Phylum,8 Weeks,AJ,WT,F
200,Bacteroidetes,AW5,0.009279042,Phylum,8 Weeks,AJ,WT,F
201,Bacteroidetes,AW6,0.009836404,Phylum,8 Weeks,AJ,WT,M
202,Bacteroidetes,AW7,0.012427104,Phylum,8 Weeks,AJ,WT,M
203,Bacteroidetes,AW8,0.010197657,Phylum,8 Weeks,AJ,WT,M
204,Bacteroidetes,AW9,0.010796305,Phylum,8 Weeks,AJ,WT,M
205,Bacteroidetes,AW10,0.009361614,Phylum,8 Weeks,AJ,WT,M
206,Bacteroidetes,AW11,0.008442999,Phylum,8 Weeks,AJ,WT,M
207,Bacteroidetes,BK1,0.01042473,Phylum,8 Weeks,B6,KO,F
208,Bacteroidetes,BK2,0.007978531,Phylum,8 Weeks,B6,KO,F
209,Bacteroidetes,BK3,0.01171492,Phylum,8 Weeks,B6,KO,F
210,Bacteroidetes,BK4,0.013314755,Phylum,8 Weeks,B6,KO,F
211,Bacteroidetes,BK5,0.010177014,Phylum,8 Weeks,B6,KO,F
212,Bacteroidetes,BK6,0.010280229,Phylum,8 Weeks,B6,KO,M
213,Bacteroidetes,BK7,0.012416783,Phylum,8 Weeks,B6,KO,M
214,Bacteroidetes,BK8,0.010404087,Phylum,8 Weeks,B6,KO,M
215,Bacteroidetes,BK9,3.10E-05,Phylum,8 Weeks,B6,KO,M
216,Bacteroidetes,BK10,0.006512876,Phylum,8 Weeks,B6,KO,M
217,Bacteroidetes,BK11,0.007338597,Phylum,8 Weeks,B6,KO,M
218,Bacteroidetes,BW1,0.01042473,Phylum,8 Weeks,B6,WT,F
219,Bacteroidetes,BW2,0.01928059,Phylum,8 Weeks,B6,WT,F
220,Bacteroidetes,BW3,0.011023378,Phylum,8 Weeks,B6,WT,F
221,Bacteroidetes,BW4,0.007194096,Phylum,8 Weeks,B6,WT,F
222,Bacteroidetes,BW5,0.009464829,Phylum,8 Weeks,B6,WT,F
223,Bacteroidetes,BW6,0.013583114,Phylum,8 Weeks,B6,WT,M
224,Bacteroidetes,BW7,0.007472777,Phylum,8 Weeks,B6,WT,M
225,Bacteroidetes,BW8,0.008742323,Phylum,8 Weeks,B6,WT,M
226,Bacteroidetes,BW9,0.009485472,Phylum,8 Weeks,B6,WT,M
227,Bacteroidetes,BW10,0.013469577,Phylum,8 Weeks,B6,WT,M
228,Bacteroidetes,BW11,0.0170305,Phylum,8 Weeks,B6,WT,M
229,Bacteroidetes,AK1,0.016060278,Phylum,20 Weeks,AJ,KO,F
230,Bacteroidetes,AK2,0.020787532,Phylum,20 Weeks,AJ,KO,F
231,Bacteroidetes,AK3,0.018909016,Phylum,20 Weeks,AJ,KO,F
232,Bacteroidetes,AK4,0.017856221,Phylum,20 Weeks,AJ,KO,F
233,Bacteroidetes,AK5,0.011683955,Phylum,20 Weeks,AJ,KO,F
234,Bacteroidetes,AK6,0.008112711,Phylum,20 Weeks,AJ,KO,F
235,Bacteroidetes,AK7,0.015709346,Phylum,20 Weeks,AJ,KO,M
236,Bacteroidetes,AK8,0.017350467,Phylum,20 Weeks,AJ,KO,M
237,Bacteroidetes,AK9,0.013954689,Phylum,20 Weeks,AJ,KO,M
238,Bacteroidetes,AK10,0.01771172,Phylum,20 Weeks,AJ,KO,M
239,Bacteroidetes,AK11,0.023873665,Phylum,20 Weeks,AJ,KO,M
240,Bacteroidetes,AK12,0.03167673,Phylum,20 Weeks,AJ,KO,M
241,Bacteroidetes,AW1,0.008546215,Phylum,20 Weeks,AJ,WT,F
242,Bacteroidetes,AW2,0.008288177,Phylum,20 Weeks,AJ,WT,F
243,Bacteroidetes,AW3,0.008319141,Phylum,20 Weeks,AJ,WT,F
244,Bacteroidetes,AW4,0.008298498,Phylum,20 Weeks,AJ,WT,F
245,Bacteroidetes,AW5,0.008050782,Phylum,20 Weeks,AJ,WT,F
246,Bacteroidetes,AW6,0.0094029,Phylum,20 Weeks,AJ,WT,F
247,Bacteroidetes,AW7,0.009000361,Phylum,20 Weeks,AJ,WT,M
248,Bacteroidetes,AW8,0.010166692,Phylum,20 Weeks,AJ,WT,M
249,Bacteroidetes,AW9,0.009660938,Phylum,20 Weeks,AJ,WT,M
250,Bacteroidetes,AW10,0.008556536,Phylum,20 Weeks,AJ,WT,M
251,Bacteroidetes,AW11,0.007555349,Phylum,20 Weeks,AJ,WT,M
252,Bacteroidetes,AW12,0.010311194,Phylum,20 Weeks,AJ,WT,M
253,Bacteroidetes,BK1,0.007978531,Phylum,20 Weeks,B6,KO,F
254,Bacteroidetes,BK2,0.007978531,Phylum,20 Weeks,B6,KO,F
255,Bacteroidetes,BK3,0.007545028,Phylum,20 Weeks,B6,KO,F
256,Bacteroidetes,BK4,0.008102389,Phylum,20 Weeks,B6,KO,F
257,Bacteroidetes,BK5,0.008494607,Phylum,20 Weeks,B6,KO,F
258,Bacteroidetes,BK6,0.008835217,Phylum,20 Weeks,B6,KO,F
