taxon,8_AKF_8733_1,8_AKF_8733_2,8_AKF_8738_1,8_AKF_8738_2,8_AKF_8802_1,8_AKM_8768_1,8_AKM_8768_2,8_AKM_8769_1,8_AKM_8769_2,8_AKM_8771_1,8_AKM_8771_2,8_AWF_8736_1,8_AWF_8736_2,8_AWF_8797_1,8_AWF_9005_1,8_AWF_9005_2,8_AWM_8728_1,8_AWM_8728_2,8_AWM_8730_1,8_AWM_8730_2,8_AWM_8766_1,8_AWM_8766_2,8_BKF_8726_1,8_BKF_8726_2,8_BKF_8926_1,8_BKF_8926_2,8_BKF_8927_1,8_BKM_8719_1,8_BKM_8719_2,8_BKM_8859_1,8_BKM_8859_2,8_BKM_8860_1,8_BKM_8860_2,8_BWF_8754_1,8_BWF_8754_2,8_BWF_8755_1,8_BWF_8852_1,8_BWF_8852_2,8_BWM_8745_1,8_BWM_8745_2,8_BWM_8747_1,8_BWM_8747_2,8_BWM_8847_1,8_BWM_8847_2,20_AKF_8733_1,20_AKF_8733_2,20_AKF_8738_1,20_AKF_8738_2,20_AKF_8802_1,20_AKF_8802_2,20_AKM_8768_1,20_AKM_8768_2,20_AKM_8769_1,20_AKM_8769_2,20_AKM_8771_1,20_AKM_8771_2,20_AWF_8736_1,20_AWF_8736_2,20_AWF_8797_1,20_AWF_8797_2,20_AWF_9005_1,20_AWF_9005_2,20_AWM_8728_1,20_AWM_8728_2,20_AWM_8730_1,20_AWM_8730_2,20_AWM_8766_1,20_AWM_8766_2,20_BKF_8726_1,20_BKF_8726_2,20_BKF_8926_1,20_BKF_8926_2,20_BKF_8927_1,20_BKF_8927_2,20_BKM_8719_1,20_BKM_8719_2,20_BKM_8859_1,20_BKM_8859_2,20_BKM_8860_1,20_BKM_8860_2,20_BWF_8754_1,20_BWF_8754_2,20_BWF_8755_1,20_BWF_8755_2,20_BWF_8852_1,20_BWF_8852_2,20_BWM_8745_1,20_BWM_8745_2,20_BWM_8747_1,20_BWM_8747_2,20_BWM_8847_1,20_BWM_8847_2
Actinobacteria,13,13,11,7,5,44,32,6,0,29,7,33,44,12,40,22,2,3,12,10,38,17,10,4,10,8,10,12,20,28,0,24,4,23,78,5,14,6,30,8,15,9,4,7,0,0,0,0,13,11,0,0,0,0,0,0,10,29,9,18,4,5,4,9,2,5,15,19,17,26,14,14,8,6,45,25,8,5,27,5,8,11,18,36,13,16,53,18,40,17,9,7
Bacteria_unclassified,1,0,36,3,2,14,14,1,7,26,37,0,3,0,0,1,0,1,1,1,31,4,0,2,70,35,1,0,0,20,0,0,0,3,6,3,0,1,4,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,14,13,0,0,39,20,10,3,4,2,0,0,0,1,24,3,9,11,0,0
Bacteroidetes,1069,869,919,895,839,1552,2079,935,1126,727,645,887,1235,891,772,899,953,1204,988,1046,907,818,1010,773,1135,1290,986,996,1203,1008,3,631,711,1010,1868,1068,697,917,1316,724,847,919,1305,1650,1556,2014,1832,1730,1132,786,1522,1681,1352,1716,2313,3069,828,803,806,804,780,911,872,985,936,829,732,999,773,773,731,785,823,856,901,927,734,786,773,631,746,867,798,1362,895,1117,1323,1046,1224,934,793,977
Candidatus_Saccharibacteria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Deferribacteres,5,1,1,0,12,22,49,0,2,25,16,7,2,10,1,0,0,0,20,13,2,0,1,6,2,3,19,3,5,11,0,5,1,1,4,5,0,0,48,45,0,0,149,115,0,1,0,0,10,13,0,0,0,1,0,0,0,0,5,31,12,2,1,0,0,0,0,0,12,0,1,8,1,1,2,10,0,0,0,0,1,11,0,0,1,9,0,0,1,0,0,5
Firmicutes,494,475,380,331,579,726,692,102,166,452,979,310,613,338,461,510,316,201,223,205,949,409,154,270,680,411,155,308,407,434,1,520,342,401,1296,229,184,128,1015,551,251,176,69,121,74,82,204,163,1848,1852,179,185,202,131,171,314,239,164,190,252,291,329,160,195,201,114,113,139,327,335,365,321,318,354,520,395,601,521,1094,208,450,458,284,585,235,344,1415,269,407,442,157,200
Proteobacteria,255,169,73,100,632,217,182,105,150,150,94,120,76,67,81,68,231,144,445,418,295,87,332,280,98,114,144,139,224,103,1,394,701,327,762,271,576,674,871,435,200,283,1265,814,480,483,770,961,2195,1365,1529,2012,883,763,1199,1758,129,21,88,129,105,71,73,119,94,99,23,18,214,173,108,149,68,65,296,245,66,107,92,57,376,328,232,678,498,590,432,261,132,65,126,171
Tenericutes,87,88,18,65,21,24,17,12,33,3,4,55,88,31,4,5,26,25,10,9,6,4,20,24,18,28,27,32,62,3,1,6,20,47,200,5,13,11,118,86,17,24,1,0,17,5,1,0,0,1,0,0,0,0,0,0,7,6,10,20,28,19,13,25,30,21,1284,67,16,30,256,179,532,597,8,10,51,67,41,43,64,59,14,18,5,15,45,28,34,30,13,26
Unknown_phylum,0,0,99,23,54,47,57,8,10,47,93,6,17,0,3,8,6,4,8,10,81,24,0,1,110,59,5,0,0,47,0,4,3,5,7,8,4,0,9,3,4,7,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,1,1,1,2,2,2,1,14,17,1,0,36,33,49,14,5,10,2,2,4,3,40,4,24,31,4,1
Verrucomicrobia,1,1,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,44,67,35,48,56,25,19,4,0,65,230,97,83,43,54,38,22,33,217,215,29,150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,17,13,76,83,82,49,23,34,71,16,12,3,27,40,40,29,7,6,37,71,16,36,0,0
