,Sample_ID,sobs,Shannon,Simpson,Age,Strain,Genotype
1,X20_AKF_8733_1,4,0.72006713,0.587167808,8 Weeks,AJ,KO
2,X20_AKF_8733_2,5,0.632485564,0.642796618,8 Weeks,AJ,KO
3,X20_AKF_8738_1,4,0.826678562,0.506311606,8 Weeks,AJ,KO
4,X20_AKF_8738_2,3,0.833466511,0.483899833,8 Weeks,AJ,KO
5,X20_AKF_8802_1,6,1.109923926,0.349611271,8 Weeks,AJ,KO
6,X20_AKF_8802_2,8,1.085288757,0.363632838,8 Weeks,AJ,KO
7,X20_AKM_8768_1,4,0.873553558,0.448465094,8 Weeks,AJ,KO
8,X20_AKM_8768_2,3,0.847951888,0.459211789,8 Weeks,AJ,KO
9,X20_AKM_8769_1,3,0.901118764,0.445708033,8 Weeks,AJ,KO
10,X20_AKM_8769_2,4,0.788507365,0.519666427,8 Weeks,AJ,KO
11,X20_AKM_8771_1,3,0.800019315,0.502413205,8 Weeks,AJ,KO
12,X20_AKM_8771_2,4,0.847356948,0.476745584,8 Weeks,AJ,WT
13,X20_AWF_8736_1,5,0.888336902,0.515783359,8 Weeks,AJ,WT
14,X20_AWF_8736_2,6,0.701526457,0.641495601,8 Weeks,AJ,WT
15,X20_AWF_8797_1,6,0.840990774,0.564652572,8 Weeks,AJ,WT
16,X20_AWF_8797_2,7,1.065436921,0.461942978,8 Weeks,AJ,WT
17,X20_AWF_9005_1,7,0.995617163,0.472489628,8 Weeks,AJ,WT
18,X20_AWF_9005_2,7,0.85888664,0.526721918,8 Weeks,AJ,WT
19,X20_AWM_8728_1,9,0.759565053,0.621731579,8 Weeks,AJ,WT
20,X20_AWM_8728_2,7,0.844264817,0.572891296,8 Weeks,AJ,WT
21,X20_AWM_8730_1,6,0.812757858,0.579400814,8 Weeks,AJ,WT
22,X20_AWM_8730_2,6,0.765041907,0.621390007,8 Weeks,AJ,WT
23,X20_AWM_8766_1,7,0.920575849,0.466961495,8 Weeks,B6,KO
24,X20_AWM_8766_2,6,0.709011701,0.661517056,8 Weeks,B6,KO
25,X20_BKF_8726_1,9,1.170957681,0.394607691,8 Weeks,B6,KO
26,X20_BKF_8726_2,8,1.152633638,0.40398327,8 Weeks,B6,KO
27,X20_BKF_8926_1,9,1.385470927,0.310442445,8 Weeks,B6,KO
28,X20_BKF_8926_2,8,1.378712706,0.32873345,8 Weeks,B6,KO
29,X20_BKF_8927_1,9,1.3804413,0.309861933,8 Weeks,B6,KO
30,X20_BKF_8927_2,9,1.334559845,0.3182896,8 Weeks,B6,KO
31,X20_BKM_8719_1,8,1.1861159,0.363123251,8 Weeks,B6,KO
32,X20_BKM_8719_2,7,1.155125891,0.397284012,8 Weeks,B6,KO
33,X20_BKM_8859_1,8,1.306114041,0.354290569,8 Weeks,B6,KO
34,X20_BKM_8859_2,8,1.234189728,0.374674629,8 Weeks,B6,WT
35,X20_BKM_8860_1,8,1.120222995,0.410451992,8 Weeks,B6,WT
36,X20_BKM_8860_2,8,1.038903418,0.480213975,8 Weeks,B6,WT
37,X20_BWF_8754_1,9,1.300638339,0.319977479,8 Weeks,B6,WT
38,X20_BWF_8754_2,9,1.30811502,0.336472596,8 Weeks,B6,WT
39,X20_BWF_8755_1,7,1.156231979,0.401016853,8 Weeks,B6,WT
40,X20_BWF_8755_2,7,1.167949538,0.361880788,8 Weeks,B6,WT
41,X20_BWF_8852_1,8,1.068616587,0.401431803,8 Weeks,B6,WT
42,X20_BWF_8852_2,10,1.117908384,0.387797755,8 Weeks,B6,WT
43,X20_BWM_8745_1,8,1.255155451,0.347603799,8 Weeks,B6,WT
44,X20_BWM_8745_2,8,1.152094675,0.428996988,8 Weeks,B6,WT
45,X20_BWM_8747_1,9,1.077205415,0.472910313,20 Weeks,AJ,KO
46,X20_BWM_8747_2,8,1.121412178,0.438204008,20 Weeks,AJ,KO
47,X20_BWM_8847_1,6,0.874396993,0.551007086,20 Weeks,AJ,KO
48,X20_BWM_8847_2,7,0.910882219,0.532222004,20 Weeks,AJ,KO
49,X8_AKF_8733_1,8,1.140489952,0.393569134,20 Weeks,AJ,KO
50,X8_AKF_8733_2,8,1.140524166,0.388678919,20 Weeks,AJ,KO
51,X8_AKF_8738_1,8,1.154506645,0.425399181,20 Weeks,AJ,KO
52,X8_AKF_8738_2,7,1.064213732,0.45597902,20 Weeks,AJ,KO
53,X8_AKF_8802_1,9,1.271916049,0.313113628,20 Weeks,AJ,KO
54,X8_AKM_8768_1,9,1.125726032,0.426276442,20 Weeks,AJ,KO
55,X8_AKM_8768_2,8,1.008270386,0.4965501,20 Weeks,AJ,KO
56,X8_AKM_8769_1,7,0.722134041,0.655291667,20 Weeks,AJ,KO
57,X8_AKM_8769_2,7,0.839761148,0.590744312,20 Weeks,AJ,WT
58,X8_AKM_8771_1,8,1.28672934,0.356443286,20 Weeks,AJ,WT
59,X8_AKM_8771_2,8,1.157529631,0.396091355,20 Weeks,AJ,WT
60,X8_AWF_8736_1,7,1.097753819,0.447940732,20 Weeks,AJ,WT
61,X8_AWF_8736_2,9,1.064990725,0.443194954,20 Weeks,AJ,WT
62,X8_AWF_8797_1,6,0.934931208,0.501783935,20 Weeks,AJ,WT
63,X8_AWF_9005_1,8,1.005386927,0.438555197,20 Weeks,AJ,WT
64,X8_AWF_9005_2,7,0.928250839,0.468595803,20 Weeks,AJ,WT
65,X8_AWM_8728_1,6,1.005729552,0.451011259,20 Weeks,AJ,WT
66,X8_AWM_8728_2,8,0.793986492,0.602129954,20 Weeks,AJ,WT
67,X8_AWM_8730_1,8,1.079416112,0.419931446,20 Weeks,AJ,WT
68,X8_AWM_8730_2,8,1.028493777,0.44708101,20 Weeks,AJ,WT
69,X8_AWM_8766_1,8,1.259940536,0.340948275,20 Weeks,B6,KO
70,X8_AWM_8766_2,7,1.003294371,0.454376898,20 Weeks,B6,KO
71,X8_BKF_8726_1,7,1.032718423,0.468242468,20 Weeks,B6,KO
72,X8_BKF_8726_2,9,1.232740656,0.369808472,20 Weeks,B6,KO
73,X8_BKF_8926_1,9,1.243339489,0.381696681,20 Weeks,B6,KO
74,X8_BKF_8926_2,9,1.127395526,0.465062456,20 Weeks,B6,KO
75,X8_BKF_8927_1,9,1.048254149,0.518506807,20 Weeks,B6,KO
76,X8_BKM_8719_1,7,1.018626137,0.482401001,20 Weeks,B6,KO
77,X8_BKM_8719_2,7,1.091087391,0.442816203,20 Weeks,B6,KO
78,X8_BKM_8859_1,9,1.10847058,0.442946654,20 Weeks,B6,KO
79,X8_BKM_8859_2,4,1.242453325,0.2,20 Weeks,B6,KO
80,X8_BKM_8860_1,8,1.315216847,0.304327571,20 Weeks,B6,KO
81,X8_BKM_8860_2,8,1.355775536,0.287978741,20 Weeks,B6,WT
82,X8_BWF_8754_1,9,1.291568404,0.35452803,20 Weeks,B6,WT
83,X8_BWF_8754_2,9,1.347741338,0.313089575,20 Weeks,B6,WT
84,X8_BWF_8755_1,9,1.037734183,0.473040911,20 Weeks,B6,WT
85,X8_BWF_8852_1,7,1.196207095,0.359055677,20 Weeks,B6,WT
86,X8_BWF_8852_2,7,1.035759533,0.416461883,20 Weeks,B6,WT
87,X8_BWM_8745_1,9,1.348607626,0.300032354,20 Weeks,B6,WT
88,X8_BWM_8745_2,9,1.406545101,0.28820905,20 Weeks,B6,WT
89,X8_BWM_8747_1,8,1.294452274,0.357663294,20 Weeks,B6,WT
90,X8_BWM_8747_2,7,1.248374055,0.375573346,20 Weeks,B6,WT
91,X8_BWM_8847_1,7,1.021519214,0.418076334,20 Weeks,B6,WT
92,X8_BWM_8847_2,6,1.107458908,0.420689417,20 Weeks,B6,WT
