,taxon,Sample_ID,count,Level,Age,Strain,Genotype
1,Actinobacteria,X8_AKF_8733_1,13,Phylum,8 Weeks,AJ,KO
2,Actinobacteria,X8_AKF_8733_2,13,Phylum,8 Weeks,AJ,KO
3,Actinobacteria,X8_AKF_8738_1,11,Phylum,8 Weeks,AJ,KO
4,Actinobacteria,X8_AKF_8738_2,7,Phylum,8 Weeks,AJ,KO
5,Actinobacteria,X8_AKF_8802_1,5,Phylum,8 Weeks,AJ,KO
6,Actinobacteria,X8_AKM_8768_1,44,Phylum,8 Weeks,AJ,KO
7,Actinobacteria,X8_AKM_8768_2,32,Phylum,8 Weeks,AJ,KO
8,Actinobacteria,X8_AKM_8769_1,6,Phylum,8 Weeks,AJ,KO
9,Actinobacteria,X8_AKM_8769_2,0,Phylum,8 Weeks,AJ,KO
10,Actinobacteria,X8_AKM_8771_1,29,Phylum,8 Weeks,AJ,KO
11,Actinobacteria,X8_AKM_8771_2,7,Phylum,8 Weeks,AJ,KO
12,Actinobacteria,X8_AWF_8736_1,33,Phylum,8 Weeks,AJ,WT
13,Actinobacteria,X8_AWF_8736_2,44,Phylum,8 Weeks,AJ,WT
14,Actinobacteria,X8_AWF_8797_1,12,Phylum,8 Weeks,AJ,WT
15,Actinobacteria,X8_AWF_9005_1,40,Phylum,8 Weeks,AJ,WT
16,Actinobacteria,X8_AWF_9005_2,22,Phylum,8 Weeks,AJ,WT
17,Actinobacteria,X8_AWM_8728_1,2,Phylum,8 Weeks,AJ,WT
18,Actinobacteria,X8_AWM_8728_2,3,Phylum,8 Weeks,AJ,WT
19,Actinobacteria,X8_AWM_8730_1,12,Phylum,8 Weeks,AJ,WT
20,Actinobacteria,X8_AWM_8730_2,10,Phylum,8 Weeks,AJ,WT
21,Actinobacteria,X8_AWM_8766_1,38,Phylum,8 Weeks,AJ,WT
22,Actinobacteria,X8_AWM_8766_2,17,Phylum,8 Weeks,AJ,WT
23,Actinobacteria,X8_BKF_8726_1,10,Phylum,8 Weeks,B6,KO
24,Actinobacteria,X8_BKF_8726_2,4,Phylum,8 Weeks,B6,KO
25,Actinobacteria,X8_BKF_8926_1,10,Phylum,8 Weeks,B6,KO
26,Actinobacteria,X8_BKF_8926_2,8,Phylum,8 Weeks,B6,KO
27,Actinobacteria,X8_BKF_8927_1,10,Phylum,8 Weeks,B6,KO
28,Actinobacteria,X8_BKM_8719_1,12,Phylum,8 Weeks,B6,KO
29,Actinobacteria,X8_BKM_8719_2,20,Phylum,8 Weeks,B6,KO
30,Actinobacteria,X8_BKM_8859_1,28,Phylum,8 Weeks,B6,KO
31,Actinobacteria,X8_BKM_8859_2,0,Phylum,8 Weeks,B6,KO
32,Actinobacteria,X8_BKM_8860_1,24,Phylum,8 Weeks,B6,KO
33,Actinobacteria,X8_BKM_8860_2,4,Phylum,8 Weeks,B6,KO
34,Actinobacteria,X8_BWF_8754_1,23,Phylum,8 Weeks,B6,WT
35,Actinobacteria,X8_BWF_8754_2,78,Phylum,8 Weeks,B6,WT
36,Actinobacteria,X8_BWF_8755_1,5,Phylum,8 Weeks,B6,WT
37,Actinobacteria,X8_BWF_8852_1,14,Phylum,8 Weeks,B6,WT
38,Actinobacteria,X8_BWF_8852_2,6,Phylum,8 Weeks,B6,WT
39,Actinobacteria,X8_BWM_8745_1,30,Phylum,8 Weeks,B6,WT
