"","Cellulomonas_unclassified","Atopobium_unclassified","Olsenella_umbonata","Olsenella_unclassified","Olegusella_massiliensis","Olegusella_unclassified","Arabia_unclassified","Eggerthella_unclassified","Gordonibacter_unclassified","Anaerorhabdus_unclassified","Bacteroides_caecimuris","Bacteroides_dorei","Bacteroides_faecichinchillae","Bacteroides_paurosaccharolyticus","Bacteroides_unclassified","Bacteroides_uniformis","Bacteroides_vulgatus","Duncaniella_sp._C9","Duncaniella_unclassified","Muribaculum_intestinale","Muribaculum_sp._H5","Muribaculum_sp._TLL-A4","Muribaculum_unclassified","Culturomica_unclassified","Odoribacter_unclassified","Paraprevotella_unclassified","Prevotella_copri","Prevotella_denticola","Prevotella_marshii","Prevotella_scopos","Prevotella_unclassified","Alistipes_sp._Marseille-P5997","Alistipes_unclassified","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_sp._CT06","Parabacteroides_unclassified","Candidatus_Azobacteroides_unclassified","Rufibacter_unclassified","Blattabacterium_sp._[Mastotermes_darwiniensis]","Alicyclobacillus_unclassified","Bacillus_unclassified","Paenibacillus_unclassified","Macrococcus_unclassified","Staphylococcus_unclassified","Enterococcus_unclassified","Christensenella_massiliensis","Christensenella_minuta","Christensenella_timonensis","Butyricicoccus_unclassified","Clostridium_phoceensis","Clostridium_unclassified","Massilioclostridium_unclassified","Clostridiales_unclassified","Eubacterium_coprostanoligenes","Hungateiclostridium_unclassified","Mageeibacillus_unclassified","Pseudobacteroides_unclassified","Pseudoclostridium_unclassified","Ruminiclostridium_unclassified","Thermoclostridium_unclassified","Hungateiclostridiaceae_bacterium_KB18","Butyrivibrio_unclassified","Dorea_unclassified","Lachnoclostridium_unclassified","Niameybacter_unclassified","Oscillibacter_unclassified","Oscillibacter_valericigenes","Anaerotruncus_unclassified","Angelakisella_unclassified","Bittarella_unclassified","Faecalibacterium_unclassified","Fournierella_unclassified","Ruminococcaceae_unclassified","Ruminococcus_unclassified","Ruthenibacterium_unclassified","Monoglobus_unclassified","Allobaculum_stercoricanis","Allobaculum_unclassified","Bulleidia_unclassified","[Clostridium]_cocleatum","Erysipelothrix_unclassified","Faecalibaculum_unclassified","Faecalicoccus_unclassified","Faecalitalea_unclassified","Massiliomicrobiota_unclassified","Turicibacter_sp._H121","Turicibacter_unclassified","Peptoniphilus_unclassified","Urinacoccus_unclassified","Ezakiella_unclassified","Hoeflea_unclassified","Roseospirillum_unclassified","Sphingobium_unclassified","Pelistega_unclassified","Comamonadaceae_unclassified","Curvibacter_unclassified","Turicimonas_muris","Burkholderiales_bacterium_YL45","Aquaspirillum_unclassified","Mailhella_unclassified","Helicobacter_apodemus","Helicobacter_himalayensis","Enterobacteriaceae_unclassified","Escherichia_unclassified","Providencia_unclassified","Proteobacteria_unclassified","Akkermansia_muciniphila","Akkermansia_unclassified","Age","Strain","Genotype"
"X20_AKF_8733_2","0.0000000000","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.101995565","0.04545455","0.00000000","0.025746653","0.0312807335","0.000000000","0.004535147","0.0016827934","1.261519e-02","0.0000000000","0.0001598721","0.0037371535","1.118614e-02","0.001851852","0.0019880716","0.0145551456","0.00000000","0.00000000","0.000000000","0.00000000","1.096287e-03","0.009615385","0.0024405125","0.0267354597","0.00000000","0.0000000000","0.0232558140","0.000000000","0.0188248716","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.019031142","0.00000000","0.00000000","0.00000000","0.000000000","0.01818182","0.0027147876","0.000000000","0.00000000","0.00000000","0.0010537408","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.05","0.0000000000","0.000000000","0.015583259","0.000000000","0.0029932652","0.009615385","0.000000000","0.001941748","0.00000000","0.000000000","0.003717472","0.00000000","0.001383126","0.000000000","0.00000000","0.00000000","0.0001353546","0.000000000","0.0000000000","0.004249292","0.0000000000","0.000000000","0.000000000","0.0002015723","0.001394700","0.0002787845","0.00000000","0.00000000","0.00","0.00000000","0.008849558","0.0000","0.0000000","0.000","0.00000000","0.000000000","0.0004409171","0.00000000","0.0074661689","0.000000000","0.00000000","0.02739726","0.022883295","0.000000000","0.01666667","0.0000000000","0.000000000","20 Weeks","AJ","KO"
"X20_AKF_8738_1","0.0005875441","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.090909091","0.00000000","0.00000000","0.026776519","0.0201453000","0.004587156","0.004535147","0.0000000000","9.510669e-03","0.0002592017","0.0000000000","0.0028028652","7.703156e-03","0.000000000","0.0059642147","0.0141451415","0.00000000","0.05555556","0.000000000","0.00000000","9.330099e-05","0.009615385","0.0016778523","0.0918542839","0.00000000","0.0019723866","0.0491178829","0.000000000","0.0376497433","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.034602076","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0033535612","0.000000000","0.00390625","0.00000000","0.0003512469","0.000000000","0.000000000","0.0003439972","0.000000000","0.000000000","0.00","0.0000000000","0.000000000","0.000445236","0.000000000","0.0000000000","0.009615385","0.002638522","0.000000000","0.00000000","0.002008032","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.0001353546","0.000000000","0.0000000000","0.001416431","0.0000000000","0.000000000","0.000000000","0.0002015723","0.000000000","0.0000000000","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.0000000","0.000","0.00000000","0.000000000","0.0000000000","0.00000000","0.0233317779","0.000000000","0.01123596","0.10958904","0.077803204","0.000000000","0.08333333","0.0000000000","0.002967359","20 Weeks","AJ","KO"
"X20_AKF_8738_2","0.0000000000","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.044345898","0.04545455","0.00000000","0.026776519","0.0155134672","0.000000000","0.002267574","0.0000000000","6.553984e-03","0.0000000000","0.0000000000","0.0003114295","7.350584e-03","0.001851852","0.0006626905","0.0297252973","0.00000000","0.00000000","0.000000000","0.00000000","9.330099e-05","0.003205128","0.0011439902","0.0716854284","0.00000000","0.0000000000","0.0443063352","0.000000000","0.0342270394","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.043252595","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0031938678","0.000000000","0.00390625","0.00000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.00","0.0000000000","0.000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.001383126","0.000000000","0.00000000","0.00000000","0.0000000000","0.000000000","0.0000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.0000000000","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.1111111","0.000","0.00000000","0.000000000","0.0004409171","0.00000000","0.0051329911","0.000000000","0.00000000","0.09589041","0.132723112","0.000000000","0.01666667","0.0000000000","0.000000000","20 Weeks","AJ","KO"
"X20_AKF_8802_1","0.0000000000","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.002207506","0.000000000","0.00000000","0.019955654","0.04545455","0.00000000","0.009268795","0.0266171759","0.027522936","0.011337868","0.0429112326","6.307594e-03","0.0033696216","0.0047961631","0.0034257241","5.331310e-03","0.003703704","0.0059642147","0.0010250103","0.00000000","0.00000000","0.000000000","0.00000000","8.163837e-04","0.019230769","0.0047284930","0.0248592871","0.00000000","0.0006574622","0.0128307939","0.000000000","0.0017113520","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.012110727","0.00000000","0.00000000","0.00000000","0.001733102","0.00000000","0.0003193868","0.000000000","0.00000000","0.00000000","0.0000000000","0.000000000","0.000000000","0.0006879945","0.000000000","0.000000000","0.00","0.0004233700","0.000000000","0.005342832","0.000000000","0.0017460713","0.000000000","0.002638522","0.000000000","0.00000000","0.000000000","0.000000000","0.02857143","0.001383126","0.000000000","0.00000000","0.00000000","0.0001353546","0.000000000","0.0464807437","0.001416431","0.0074104570","0.031496063","0.008658009","0.0040314453","0.000000000","0.0002787845","0.00000000","0.00000000","0.00","0.01851852","0.000000000","0.0000","0.1111111","0.000","0.00000000","0.000000000","0.0004409171","0.00000000","0.0088660756","0.000000000","0.00000000","0.00000000","0.006864989","0.000000000","0.01666667","0.0002190581","0.000000000","20 Weeks","AJ","KO"
"X20_AKF_8802_2","0.0000000000","0.000","0.0","0.003154574","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.008869180","0.00000000","0.00000000","0.023686921","0.0192887281","0.022935780","0.000000000","0.0319730753","4.632139e-03","0.0031104199","0.0039968026","0.0021800062","4.572747e-03","0.003703704","0.0039761431","0.0010250103","0.00000000","0.00000000","0.000000000","0.00000000","1.119612e-03","0.009615385","0.0049572910","0.0200906817","0.00000000","0.0000000000","0.0116279070","0.000000000","0.0005704507","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.003460208","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0007984669","0.000000000","0.00000000","0.00000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.00","0.0000000000","0.000000000","0.002671416","0.000000000","0.0022449489","0.000000000","0.002638522","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.0001353546","0.000000000","0.0302124834","0.000000000","0.0041169205","0.019685039","0.010822511","0.0006047168","0.001394700","0.0000000000","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.1111111","0.000","0.00000000","0.000000000","0.0004409171","0.00000000","0.0093327112","0.000000000","0.00000000","0.01369863","0.004576659","0.005882353","0.00000000","0.0000000000","0.000000000","20 Weeks","AJ","KO"
"X20_AKM_8768_1","0.0000000000","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.002217295","0.00000000","0.00000000","0.019567456","0.0250943815","0.000000000","0.006802721","0.0025241902","2.513182e-03","0.0002592017","0.0393285372","0.0006228589","4.989423e-03","0.000000000","0.0033134526","0.0002050021","0.00000000","0.00000000","0.000000000","0.00000000","2.332525e-05","0.009615385","0.0029743746","0.0345528455","0.00000000","0.0006574622","0.0228548516","0.000000000","0.0359383913","0.00000000","0.00000000","0.003571429","0.000000000","0.000000","0.000000000","0.032871972","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0031938678","0.000000000","0.00781250","0.00000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.00","0.0000000000","0.000000000","0.000000000","0.000000000","0.0002494388","0.000000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.0001353546","0.000000000","0.0000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.0002787845","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.0000000","0.000","0.00000000","0.000000000","0.0000000000","0.00000000","0.0265982268","0.000000000","0.00000000","0.17808219","0.171624714","0.000000000","0.05000000","0.0000000000","0.000000000","20 Weeks","AJ","KO"
"X20_AKM_8768_2","0.0000000000","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.000000000","0.04545455","0.00000000","0.017507724","0.0229370896","0.000000000","0.009070295","0.0058897770","3.153797e-03","0.0000000000","0.0585131894","0.0003114295","6.004402e-03","0.001851852","0.0072895958","0.0004100041","0.00000000","0.00000000","0.000000000","0.00000000","1.166262e-04","0.028846154","0.0019066504","0.0528455285","0.00000000","0.0013149244","0.0324779471","0.000000000","0.0290929835","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.060553633","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0022357074","0.000000000","0.00390625","0.00000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.00","0.0000000000","0.000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.002638522","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.0002707093","0.000000000","0.0000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.0000000000","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.0000000","0.000","0.00000000","0.000000000","0.0008818342","0.00000000","0.0298646757","0.000000000","0.00000000","0.16438356","0.219679634","0.000000000","0.05000000","0.0002190581","0.000000000","20 Weeks","AJ","KO"
"X20_AKM_8769_1","0.0000000000","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.008869180","0.09090909","0.00000000","0.024716787","0.0358808413","0.013761468","0.004535147","0.0130416491","6.011925e-03","0.0000000000","0.0180655476","0.0012457178","5.758670e-03","0.011111111","0.0053015242","0.0002050021","0.00000000","0.00000000","0.000000000","0.00000000","4.665049e-05","0.003205128","0.0163209274","0.0180581614","0.00000000","0.0013149244","0.0222534082","0.000000000","0.0102681118","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.005190311","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0022357074","0.003367003","0.00000000","0.00000000","0.0003512469","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.00","0.0000000000","0.000000000","0.003116652","0.000000000","0.0007483163","0.000000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.0001353546","0.000000000","0.0003320053","0.001416431","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.0000000000","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.0000000","0.000","0.00000000","0.000000000","0.0008818342","0.00000000","0.0671955203","0.000000000","0.00000000","0.05479452","0.043478261","0.000000000","0.01666667","0.0000000000","0.000000000","20 Weeks","AJ","KO"
"X20_AKM_8769_2","0.0005875441","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.002217295","0.00000000","0.00000000","0.051493306","0.0536150503","0.004587156","0.018140590","0.0248212032","1.212241e-02","0.0005184033","0.0346922462","0.0028028652","8.931815e-03","0.005555556","0.0139165010","0.0000000000","0.00000000","0.05555556","0.000000000","0.00000000","4.665049e-05","0.009615385","0.0295149481","0.0268918074","0.00000000","0.0006574622","0.0318765036","0.000000000","0.0171135197","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.022491349","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0023954008","0.003367003","0.01171875","0.00000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.002994012","0.000000000","0.05","0.0000000000","0.000000000","0.000445236","0.000000000","0.0002494388","0.000000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.0000000000","0.000000000","0.0003320053","0.000000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.0000000000","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.0000000","0.000","0.00000000","0.000000000","0.0000000000","0.00000000","0.0373308446","0.000000000","0.00000000","0.02739726","0.048054920","0.000000000","0.00000000","0.0004381161","0.000000000","20 Weeks","AJ","KO"
"X20_AKM_8771_1","0.0000000000","0.000","0.0","0.000000000","0.00000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.006651885","0.04545455","0.00000000","0.043254377","0.0401954253","0.000000000","0.006802721","0.0004206984","3.153797e-03","0.0007776050","0.0725819345","0.0006228589","4.786427e-03","0.016666667","0.0086149768","0.0000000000","0.00000000","0.00000000","0.000000000","0.00000000","0.000000e+00","0.000000000","0.0038895668","0.0586303940","0.00000000","0.0000000000","0.0374899759","0.000000000","0.0399315459","0.00000000","0.00000000","0.000000000","0.000000000","0.000000","0.000000000","0.046712803","0.00000000","0.00000000","0.00000000","0.000000000","0.00000000","0.0041520281","0.000000000","0.00390625","0.00000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.05","0.0000000000","0.000000000","0.000000000","0.000000000","0.0002494388","0.000000000","0.002638522","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","0.0000000000","0.000000000","0.0000000000","0.000000000","0.0000000000","0.000000000","0.000000000","0.0000000000","0.000000000","0.0000000000","0.00000000","0.00000000","0.00","0.00000000","0.000000000","0.0000","0.1111111","0.000","0.00000000","0.000000000","0.0004409171","0.00000000","0.0247316846","0.000000000","0.00000000","0.12328767","0.093821510","0.000000000","0.15000000","0.0004381161","0.000000000","20 Weeks","AJ","KO"
