,taxon,Sample_ID,count,Level,Age,Strain,Genotype
92,Akkermansia_muciniphila,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
93,Akkermansia_muciniphila,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
94,Akkermansia_muciniphila,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
95,Akkermansia_muciniphila,X20_AKF_8802_1,1,Species,20 Weeks,AJ,KO
96,Akkermansia_muciniphila,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
97,Akkermansia_muciniphila,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
98,Akkermansia_muciniphila,X20_AKM_8768_2,1,Species,20 Weeks,AJ,KO
99,Akkermansia_muciniphila,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
100,Akkermansia_muciniphila,X20_AKM_8769_2,2,Species,20 Weeks,AJ,KO
101,Akkermansia_muciniphila,X20_AKM_8771_1,2,Species,20 Weeks,AJ,KO
102,Akkermansia_muciniphila,X20_AKM_8771_2,1,Species,20 Weeks,AJ,KO
103,Akkermansia_muciniphila,X20_AWF_8736_1,0,Species,20 Weeks,AJ,WT
104,Akkermansia_muciniphila,X20_AWF_8736_2,1,Species,20 Weeks,AJ,WT
105,Akkermansia_muciniphila,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
106,Akkermansia_muciniphila,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
107,Akkermansia_muciniphila,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
108,Akkermansia_muciniphila,X20_AWF_9005_2,1,Species,20 Weeks,AJ,WT
109,Akkermansia_muciniphila,X20_AWM_8728_1,1,Species,20 Weeks,AJ,WT
110,Akkermansia_muciniphila,X20_AWM_8728_2,0,Species,20 Weeks,AJ,WT
111,Akkermansia_muciniphila,X20_AWM_8730_1,0,Species,20 Weeks,AJ,WT
112,Akkermansia_muciniphila,X20_AWM_8730_2,1,Species,20 Weeks,AJ,WT
113,Akkermansia_muciniphila,X20_AWM_8766_1,0,Species,20 Weeks,AJ,WT
114,Akkermansia_muciniphila,X20_AWM_8766_2,0,Species,20 Weeks,AJ,WT
115,Akkermansia_muciniphila,X20_BKF_8726_1,37,Species,20 Weeks,B6,KO
116,Akkermansia_muciniphila,X20_BKF_8726_2,37,Species,20 Weeks,B6,KO
117,Akkermansia_muciniphila,X20_BKF_8926_1,115,Species,20 Weeks,B6,KO
118,Akkermansia_muciniphila,X20_BKF_8926_2,151,Species,20 Weeks,B6,KO
119,Akkermansia_muciniphila,X20_BKF_8927_1,184,Species,20 Weeks,B6,KO
120,Akkermansia_muciniphila,X20_BKF_8927_2,129,Species,20 Weeks,B6,KO
121,Akkermansia_muciniphila,X20_BKM_8719_1,61,Species,20 Weeks,B6,KO
122,Akkermansia_muciniphila,X20_BKM_8719_2,81,Species,20 Weeks,B6,KO
123,Akkermansia_muciniphila,X20_BKM_8859_1,118,Species,20 Weeks,B6,KO
124,Akkermansia_muciniphila,X20_BKM_8859_2,55,Species,20 Weeks,B6,KO
125,Akkermansia_muciniphila,X20_BKM_8860_1,46,Species,20 Weeks,B6,KO
126,Akkermansia_muciniphila,X20_BKM_8860_2,26,Species,20 Weeks,B6,KO
127,Akkermansia_muciniphila,X20_BWF_8754_1,50,Species,20 Weeks,B6,WT
128,Akkermansia_muciniphila,X20_BWF_8754_2,108,Species,20 Weeks,B6,WT
129,Akkermansia_muciniphila,X20_BWF_8755_1,76,Species,20 Weeks,B6,WT
130,Akkermansia_muciniphila,X20_BWF_8755_2,65,Species,20 Weeks,B6,WT
131,Akkermansia_muciniphila,X20_BWF_8852_1,17,Species,20 Weeks,B6,WT
132,Akkermansia_muciniphila,X20_BWF_8852_2,8,Species,20 Weeks,B6,WT
133,Akkermansia_muciniphila,X20_BWM_8745_1,54,Species,20 Weeks,B6,WT
134,Akkermansia_muciniphila,X20_BWM_8745_2,122,Species,20 Weeks,B6,WT
135,Akkermansia_muciniphila,X20_BWM_8747_1,34,Species,20 Weeks,B6,WT
136,Akkermansia_muciniphila,X20_BWM_8747_2,61,Species,20 Weeks,B6,WT
137,Akkermansia_muciniphila,X20_BWM_8847_1,0,Species,20 Weeks,B6,WT
138,Akkermansia_muciniphila,X20_BWM_8847_2,0,Species,20 Weeks,B6,WT
139,Akkermansia_muciniphila,X8_AKF_8733_1,1,Species,8 Weeks,AJ,KO
140,Akkermansia_muciniphila,X8_AKF_8733_2,1,Species,8 Weeks,AJ,KO
141,Akkermansia_muciniphila,X8_AKF_8738_1,0,Species,8 Weeks,AJ,KO
142,Akkermansia_muciniphila,X8_AKF_8738_2,1,Species,8 Weeks,AJ,KO
143,Akkermansia_muciniphila,X8_AKF_8802_1,1,Species,8 Weeks,AJ,KO
144,Akkermansia_muciniphila,X8_AKM_8768_1,2,Species,8 Weeks,AJ,KO
145,Akkermansia_muciniphila,X8_AKM_8768_2,0,Species,8 Weeks,AJ,KO
146,Akkermansia_muciniphila,X8_AKM_8769_1,0,Species,8 Weeks,AJ,KO
147,Akkermansia_muciniphila,X8_AKM_8769_2,3,Species,8 Weeks,AJ,KO
