,taxon,Sample_ID,count,Level,Age,Strain,Genotype
365,Akkermansia_unclassified,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
366,Akkermansia_unclassified,X20_AKF_8738_1,1,Species,20 Weeks,AJ,KO
367,Akkermansia_unclassified,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
368,Akkermansia_unclassified,X20_AKF_8802_1,0,Species,20 Weeks,AJ,KO
369,Akkermansia_unclassified,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
370,Akkermansia_unclassified,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
371,Akkermansia_unclassified,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
372,Akkermansia_unclassified,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
373,Akkermansia_unclassified,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
374,Akkermansia_unclassified,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
375,Akkermansia_unclassified,X20_AKM_8771_2,1,Species,20 Weeks,AJ,KO
376,Akkermansia_unclassified,X20_AWF_8736_1,0,Species,20 Weeks,AJ,WT
377,Akkermansia_unclassified,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
378,Akkermansia_unclassified,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
379,Akkermansia_unclassified,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
380,Akkermansia_unclassified,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
381,Akkermansia_unclassified,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
382,Akkermansia_unclassified,X20_AWM_8728_1,2,Species,20 Weeks,AJ,WT
383,Akkermansia_unclassified,X20_AWM_8728_2,0,Species,20 Weeks,AJ,WT
384,Akkermansia_unclassified,X20_AWM_8730_1,0,Species,20 Weeks,AJ,WT
385,Akkermansia_unclassified,X20_AWM_8730_2,0,Species,20 Weeks,AJ,WT
386,Akkermansia_unclassified,X20_AWM_8766_1,0,Species,20 Weeks,AJ,WT
387,Akkermansia_unclassified,X20_AWM_8766_2,0,Species,20 Weeks,AJ,WT
388,Akkermansia_unclassified,X20_BKF_8726_1,1,Species,20 Weeks,B6,KO
389,Akkermansia_unclassified,X20_BKF_8726_2,3,Species,20 Weeks,B6,KO
390,Akkermansia_unclassified,X20_BKF_8926_1,16,Species,20 Weeks,B6,KO
391,Akkermansia_unclassified,X20_BKF_8926_2,16,Species,20 Weeks,B6,KO
