,taxon,Sample_ID,count,Level,Age,Strain,Genotype
183,Faecalibaculum_unclassified,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
184,Faecalibaculum_unclassified,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
185,Faecalibaculum_unclassified,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
186,Faecalibaculum_unclassified,X20_AKF_8802_1,18,Species,20 Weeks,AJ,KO
187,Faecalibaculum_unclassified,X20_AKF_8802_2,10,Species,20 Weeks,AJ,KO
188,Faecalibaculum_unclassified,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
189,Faecalibaculum_unclassified,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
190,Faecalibaculum_unclassified,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
191,Faecalibaculum_unclassified,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
192,Faecalibaculum_unclassified,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
193,Faecalibaculum_unclassified,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
194,Faecalibaculum_unclassified,X20_AWF_8736_1,1,Species,20 Weeks,AJ,WT
195,Faecalibaculum_unclassified,X20_AWF_8736_2,1,Species,20 Weeks,AJ,WT
196,Faecalibaculum_unclassified,X20_AWF_8797_1,1,Species,20 Weeks,AJ,WT
197,Faecalibaculum_unclassified,X20_AWF_8797_2,1,Species,20 Weeks,AJ,WT
198,Faecalibaculum_unclassified,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
199,Faecalibaculum_unclassified,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
200,Faecalibaculum_unclassified,X20_AWM_8728_1,3,Species,20 Weeks,AJ,WT
201,Faecalibaculum_unclassified,X20_AWM_8728_2,3,Species,20 Weeks,AJ,WT
202,Faecalibaculum_unclassified,X20_AWM_8730_1,12,Species,20 Weeks,AJ,WT
203,Faecalibaculum_unclassified,X20_AWM_8730_2,5,Species,20 Weeks,AJ,WT
204,Faecalibaculum_unclassified,X20_AWM_8766_1,0,Species,20 Weeks,AJ,WT
205,Faecalibaculum_unclassified,X20_AWM_8766_2,0,Species,20 Weeks,AJ,WT
206,Faecalibaculum_unclassified,X20_BKF_8726_1,40,Species,20 Weeks,B6,KO
207,Faecalibaculum_unclassified,X20_BKF_8726_2,26,Species,20 Weeks,B6,KO
208,Faecalibaculum_unclassified,X20_BKF_8926_1,11,Species,20 Weeks,B6,KO
209,Faecalibaculum_unclassified,X20_BKF_8926_2,21,Species,20 Weeks,B6,KO
210,Faecalibaculum_unclassified,X20_BKF_8927_1,35,Species,20 Weeks,B6,KO
211,Faecalibaculum_unclassified,X20_BKF_8927_2,48,Species,20 Weeks,B6,KO
212,Faecalibaculum_unclassified,X20_BKM_8719_1,89,Species,20 Weeks,B6,KO
213,Faecalibaculum_unclassified,X20_BKM_8719_2,70,Species,20 Weeks,B6,KO
214,Faecalibaculum_unclassified,X20_BKM_8859_1,32,Species,20 Weeks,B6,KO
215,Faecalibaculum_unclassified,X20_BKM_8859_2,19,Species,20 Weeks,B6,KO
216,Faecalibaculum_unclassified,X20_BKM_8860_1,107,Species,20 Weeks,B6,KO
217,Faecalibaculum_unclassified,X20_BKM_8860_2,11,Species,20 Weeks,B6,KO
218,Faecalibaculum_unclassified,X20_BWF_8754_1,62,Species,20 Weeks,B6,WT
219,Faecalibaculum_unclassified,X20_BWF_8754_2,66,Species,20 Weeks,B6,WT
220,Faecalibaculum_unclassified,X20_BWF_8755_1,48,Species,20 Weeks,B6,WT
221,Faecalibaculum_unclassified,X20_BWF_8755_2,108,Species,20 Weeks,B6,WT
222,Faecalibaculum_unclassified,X20_BWF_8852_1,57,Species,20 Weeks,B6,WT
223,Faecalibaculum_unclassified,X20_BWF_8852_2,68,Species,20 Weeks,B6,WT
224,Faecalibaculum_unclassified,X20_BWM_8745_1,124,Species,20 Weeks,B6,WT
225,Faecalibaculum_unclassified,X20_BWM_8745_2,29,Species,20 Weeks,B6,WT
226,Faecalibaculum_unclassified,X20_BWM_8747_1,14,Species,20 Weeks,B6,WT
227,Faecalibaculum_unclassified,X20_BWM_8747_2,29,Species,20 Weeks,B6,WT
228,Faecalibaculum_unclassified,X20_BWM_8847_1,71,Species,20 Weeks,B6,WT
229,Faecalibaculum_unclassified,X20_BWM_8847_2,27,Species,20 Weeks,B6,WT
230,Faecalibaculum_unclassified,X8_AKF_8733_1,0,Species,8 Weeks,AJ,KO
231,Faecalibaculum_unclassified,X8_AKF_8733_2,0,Species,8 Weeks,AJ,KO
232,Faecalibaculum_unclassified,X8_AKF_8738_1,18,Species,8 Weeks,AJ,KO
233,Faecalibaculum_unclassified,X8_AKF_8738_2,4,Species,8 Weeks,AJ,KO
234,Faecalibaculum_unclassified,X8_AKF_8802_1,2,Species,8 Weeks,AJ,KO
235,Faecalibaculum_unclassified,X8_AKM_8768_1,0,Species,8 Weeks,AJ,KO
236,Faecalibaculum_unclassified,X8_AKM_8768_2,0,Species,8 Weeks,AJ,KO
237,Faecalibaculum_unclassified,X8_AKM_8769_1,4,Species,8 Weeks,AJ,KO
238,Faecalibaculum_unclassified,X8_AKM_8769_2,5,Species,8 Weeks,AJ,KO
239,Faecalibaculum_unclassified,X8_AKM_8771_1,2,Species,8 Weeks,AJ,KO
240,Faecalibaculum_unclassified,X8_AKM_8771_2,1,Species,8 Weeks,AJ,KO
241,Faecalibaculum_unclassified,X8_AWF_8736_1,7,Species,8 Weeks,AJ,WT
242,Faecalibaculum_unclassified,X8_AWF_8736_2,79,Species,8 Weeks,AJ,WT
243,Faecalibaculum_unclassified,X8_AWF_8797_1,1,Species,8 Weeks,AJ,WT
244,Faecalibaculum_unclassified,X8_AWF_9005_1,1,Species,8 Weeks,AJ,WT
245,Faecalibaculum_unclassified,X8_AWF_9005_2,0,Species,8 Weeks,AJ,WT
246,Faecalibaculum_unclassified,X8_AWM_8728_1,2,Species,8 Weeks,AJ,WT
247,Faecalibaculum_unclassified,X8_AWM_8728_2,2,Species,8 Weeks,AJ,WT
248,Faecalibaculum_unclassified,X8_AWM_8730_1,4,Species,8 Weeks,AJ,WT
249,Faecalibaculum_unclassified,X8_AWM_8730_2,6,Species,8 Weeks,AJ,WT
250,Faecalibaculum_unclassified,X8_AWM_8766_1,55,Species,8 Weeks,AJ,WT
251,Faecalibaculum_unclassified,X8_AWM_8766_2,5,Species,8 Weeks,AJ,WT
252,Faecalibaculum_unclassified,X8_BKF_8726_1,45,Species,8 Weeks,B6,KO
253,Faecalibaculum_unclassified,X8_BKF_8726_2,20,Species,8 Weeks,B6,KO
254,Faecalibaculum_unclassified,X8_BKF_8926_1,36,Species,8 Weeks,B6,KO
255,Faecalibaculum_unclassified,X8_BKF_8926_2,11,Species,8 Weeks,B6,KO
256,Faecalibaculum_unclassified,X8_BKF_8927_1,24,Species,8 Weeks,B6,KO
257,Faecalibaculum_unclassified,X8_BKM_8719_1,81,Species,8 Weeks,B6,KO
258,Faecalibaculum_unclassified,X8_BKM_8719_2,56,Species,8 Weeks,B6,KO
259,Faecalibaculum_unclassified,X8_BKM_8859_1,29,Species,8 Weeks,B6,KO
260,Faecalibaculum_unclassified,X8_BKM_8859_2,1,Species,8 Weeks,B6,KO
261,Faecalibaculum_unclassified,X8_BKM_8860_1,135,Species,8 Weeks,B6,KO
262,Faecalibaculum_unclassified,X8_BKM_8860_2,96,Species,8 Weeks,B6,KO
263,Faecalibaculum_unclassified,X8_BWF_8754_1,51,Species,8 Weeks,B6,WT
264,Faecalibaculum_unclassified,X8_BWF_8754_2,44,Species,8 Weeks,B6,WT
265,Faecalibaculum_unclassified,X8_BWF_8755_1,20,Species,8 Weeks,B6,WT
266,Faecalibaculum_unclassified,X8_BWF_8852_1,16,Species,8 Weeks,B6,WT
267,Faecalibaculum_unclassified,X8_BWF_8852_2,18,Species,8 Weeks,B6,WT
268,Faecalibaculum_unclassified,X8_BWM_8745_1,127,Species,8 Weeks,B6,WT
269,Faecalibaculum_unclassified,X8_BWM_8745_2,59,Species,8 Weeks,B6,WT
270,Faecalibaculum_unclassified,X8_BWM_8747_1,50,Species,8 Weeks,B6,WT
271,Faecalibaculum_unclassified,X8_BWM_8747_2,44,Species,8 Weeks,B6,WT
272,Faecalibaculum_unclassified,X8_BWM_8847_1,0,Species,8 Weeks,B6,WT
273,Faecalibaculum_unclassified,X8_BWM_8847_2,1,Species,8 Weeks,B6,WT
