,taxon,Sample_ID,count,Level,Age,Strain,Genotype
1,Prevotella_marshii,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
2,Prevotella_marshii,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
3,Prevotella_marshii,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
4,Prevotella_marshii,X20_AKF_8802_1,0,Species,20 Weeks,AJ,KO
5,Prevotella_marshii,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
6,Prevotella_marshii,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
7,Prevotella_marshii,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
8,Prevotella_marshii,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
9,Prevotella_marshii,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
10,Prevotella_marshii,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
11,Prevotella_marshii,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
12,Prevotella_marshii,X20_AWF_8736_1,1,Species,20 Weeks,AJ,WT
13,Prevotella_marshii,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
14,Prevotella_marshii,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
15,Prevotella_marshii,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
16,Prevotella_marshii,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
17,Prevotella_marshii,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
18,Prevotella_marshii,X20_AWM_8728_1,1,Species,20 Weeks,AJ,WT
19,Prevotella_marshii,X20_AWM_8728_2,0,Species,20 Weeks,AJ,WT
20,Prevotella_marshii,X20_AWM_8730_1,0,Species,20 Weeks,AJ,WT
21,Prevotella_marshii,X20_AWM_8730_2,0,Species,20 Weeks,AJ,WT
22,Prevotella_marshii,X20_AWM_8766_1,1,Species,20 Weeks,AJ,WT
23,Prevotella_marshii,X20_AWM_8766_2,0,Species,20 Weeks,AJ,WT
24,Prevotella_marshii,X20_BKF_8726_1,7,Species,20 Weeks,B6,KO
25,Prevotella_marshii,X20_BKF_8726_2,4,Species,20 Weeks,B6,KO
26,Prevotella_marshii,X20_BKF_8926_1,5,Species,20 Weeks,B6,KO
27,Prevotella_marshii,X20_BKF_8926_2,1,Species,20 Weeks,B6,KO
28,Prevotella_marshii,X20_BKF_8927_1,4,Species,20 Weeks,B6,KO
29,Prevotella_marshii,X20_BKF_8927_2,3,Species,20 Weeks,B6,KO
30,Prevotella_marshii,X20_BKM_8719_1,3,Species,20 Weeks,B6,KO
31,Prevotella_marshii,X20_BKM_8719_2,4,Species,20 Weeks,B6,KO
32,Prevotella_marshii,X20_BKM_8859_1,0,Species,20 Weeks,B6,KO
33,Prevotella_marshii,X20_BKM_8859_2,4,Species,20 Weeks,B6,KO
34,Prevotella_marshii,X20_BKM_8860_1,2,Species,20 Weeks,B6,KO
35,Prevotella_marshii,X20_BKM_8860_2,3,Species,20 Weeks,B6,KO
36,Prevotella_marshii,X20_BWF_8754_1,4,Species,20 Weeks,B6,WT
37,Prevotella_marshii,X20_BWF_8754_2,0,Species,20 Weeks,B6,WT
38,Prevotella_marshii,X20_BWF_8755_1,2,Species,20 Weeks,B6,WT
39,Prevotella_marshii,X20_BWF_8755_2,3,Species,20 Weeks,B6,WT
40,Prevotella_marshii,X20_BWF_8852_1,4,Species,20 Weeks,B6,WT
41,Prevotella_marshii,X20_BWF_8852_2,3,Species,20 Weeks,B6,WT
42,Prevotella_marshii,X20_BWM_8745_1,2,Species,20 Weeks,B6,WT
43,Prevotella_marshii,X20_BWM_8745_2,2,Species,20 Weeks,B6,WT
44,Prevotella_marshii,X20_BWM_8747_1,3,Species,20 Weeks,B6,WT
45,Prevotella_marshii,X20_BWM_8747_2,3,Species,20 Weeks,B6,WT
46,Prevotella_marshii,X20_BWM_8847_1,3,Species,20 Weeks,B6,WT
47,Prevotella_marshii,X20_BWM_8847_2,1,Species,20 Weeks,B6,WT
48,Prevotella_marshii,X8_AKF_8733_1,0,Species,8 Weeks,AJ,KO
49,Prevotella_marshii,X8_AKF_8733_2,0,Species,8 Weeks,AJ,KO
50,Prevotella_marshii,X8_AKF_8738_1,0,Species,8 Weeks,AJ,KO
51,Prevotella_marshii,X8_AKF_8738_2,0,Species,8 Weeks,AJ,KO
52,Prevotella_marshii,X8_AKF_8802_1,0,Species,8 Weeks,AJ,KO
53,Prevotella_marshii,X8_AKM_8768_1,0,Species,8 Weeks,AJ,KO
54,Prevotella_marshii,X8_AKM_8768_2,0,Species,8 Weeks,AJ,KO
55,Prevotella_marshii,X8_AKM_8769_1,1,Species,8 Weeks,AJ,KO
56,Prevotella_marshii,X8_AKM_8769_2,1,Species,8 Weeks,AJ,KO
57,Prevotella_marshii,X8_AKM_8771_1,0,Species,8 Weeks,AJ,KO
58,Prevotella_marshii,X8_AKM_8771_2,0,Species,8 Weeks,AJ,KO
59,Prevotella_marshii,X8_AWF_8736_1,0,Species,8 Weeks,AJ,WT
60,Prevotella_marshii,X8_AWF_8736_2,0,Species,8 Weeks,AJ,WT
61,Prevotella_marshii,X8_AWF_8797_1,0,Species,8 Weeks,AJ,WT
62,Prevotella_marshii,X8_AWF_9005_1,0,Species,8 Weeks,AJ,WT
63,Prevotella_marshii,X8_AWF_9005_2,2,Species,8 Weeks,AJ,WT
64,Prevotella_marshii,X8_AWM_8728_1,0,Species,8 Weeks,AJ,WT
65,Prevotella_marshii,X8_AWM_8728_2,1,Species,8 Weeks,AJ,WT
66,Prevotella_marshii,X8_AWM_8730_1,1,Species,8 Weeks,AJ,WT
67,Prevotella_marshii,X8_AWM_8730_2,0,Species,8 Weeks,AJ,WT
68,Prevotella_marshii,X8_AWM_8766_1,0,Species,8 Weeks,AJ,WT
69,Prevotella_marshii,X8_AWM_8766_2,0,Species,8 Weeks,AJ,WT
70,Prevotella_marshii,X8_BKF_8726_1,1,Species,8 Weeks,B6,KO
71,Prevotella_marshii,X8_BKF_8726_2,2,Species,8 Weeks,B6,KO
72,Prevotella_marshii,X8_BKF_8926_1,7,Species,8 Weeks,B6,KO
73,Prevotella_marshii,X8_BKF_8926_2,11,Species,8 Weeks,B6,KO
74,Prevotella_marshii,X8_BKF_8927_1,4,Species,8 Weeks,B6,KO
75,Prevotella_marshii,X8_BKM_8719_1,3,Species,8 Weeks,B6,KO
76,Prevotella_marshii,X8_BKM_8719_2,2,Species,8 Weeks,B6,KO
77,Prevotella_marshii,X8_BKM_8859_1,0,Species,8 Weeks,B6,KO
78,Prevotella_marshii,X8_BKM_8859_2,0,Species,8 Weeks,B6,KO
79,Prevotella_marshii,X8_BKM_8860_1,0,Species,8 Weeks,B6,KO
80,Prevotella_marshii,X8_BKM_8860_2,2,Species,8 Weeks,B6,KO
81,Prevotella_marshii,X8_BWF_8754_1,2,Species,8 Weeks,B6,WT
82,Prevotella_marshii,X8_BWF_8754_2,1,Species,8 Weeks,B6,WT
83,Prevotella_marshii,X8_BWF_8755_1,3,Species,8 Weeks,B6,WT
84,Prevotella_marshii,X8_BWF_8852_1,2,Species,8 Weeks,B6,WT
85,Prevotella_marshii,X8_BWF_8852_2,3,Species,8 Weeks,B6,WT
86,Prevotella_marshii,X8_BWM_8745_1,1,Species,8 Weeks,B6,WT
87,Prevotella_marshii,X8_BWM_8745_2,2,Species,8 Weeks,B6,WT
88,Prevotella_marshii,X8_BWM_8747_1,3,Species,8 Weeks,B6,WT
89,Prevotella_marshii,X8_BWM_8747_2,1,Species,8 Weeks,B6,WT
90,Prevotella_marshii,X8_BWM_8847_1,1,Species,8 Weeks,B6,WT
91,Prevotella_marshii,X8_BWM_8847_2,0,Species,8 Weeks,B6,WT
