,taxon,Sample_ID,count,Level,Age,Strain,Genotype
1,Christensenella_timonensis,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
2,Christensenella_timonensis,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
3,Christensenella_timonensis,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
4,Christensenella_timonensis,X20_AKF_8802_1,0,Species,20 Weeks,AJ,KO
5,Christensenella_timonensis,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
6,Christensenella_timonensis,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
7,Christensenella_timonensis,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
8,Christensenella_timonensis,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
9,Christensenella_timonensis,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
10,Christensenella_timonensis,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
11,Christensenella_timonensis,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
12,Christensenella_timonensis,X20_AWF_8736_1,0,Species,20 Weeks,AJ,WT
13,Christensenella_timonensis,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
14,Christensenella_timonensis,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
15,Christensenella_timonensis,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
16,Christensenella_timonensis,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
17,Christensenella_timonensis,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
18,Christensenella_timonensis,X20_AWM_8728_1,0,Species,20 Weeks,AJ,WT
19,Christensenella_timonensis,X20_AWM_8728_2,0,Species,20 Weeks,AJ,WT
20,Christensenella_timonensis,X20_AWM_8730_1,0,Species,20 Weeks,AJ,WT
21,Christensenella_timonensis,X20_AWM_8730_2,1,Species,20 Weeks,AJ,WT
22,Christensenella_timonensis,X20_AWM_8766_1,0,Species,20 Weeks,AJ,WT
23,Christensenella_timonensis,X20_AWM_8766_2,0,Species,20 Weeks,AJ,WT
24,Christensenella_timonensis,X20_BKF_8726_1,2,Species,20 Weeks,B6,KO
25,Christensenella_timonensis,X20_BKF_8726_2,2,Species,20 Weeks,B6,KO
26,Christensenella_timonensis,X20_BKF_8926_1,0,Species,20 Weeks,B6,KO
27,Christensenella_timonensis,X20_BKF_8926_2,1,Species,20 Weeks,B6,KO
28,Christensenella_timonensis,X20_BKF_8927_1,3,Species,20 Weeks,B6,KO
29,Christensenella_timonensis,X20_BKF_8927_2,1,Species,20 Weeks,B6,KO
30,Christensenella_timonensis,X20_BKM_8719_1,2,Species,20 Weeks,B6,KO
31,Christensenella_timonensis,X20_BKM_8719_2,3,Species,20 Weeks,B6,KO
32,Christensenella_timonensis,X20_BKM_8859_1,2,Species,20 Weeks,B6,KO
33,Christensenella_timonensis,X20_BKM_8859_2,1,Species,20 Weeks,B6,KO
34,Christensenella_timonensis,X20_BKM_8860_1,4,Species,20 Weeks,B6,KO
35,Christensenella_timonensis,X20_BKM_8860_2,2,Species,20 Weeks,B6,KO
36,Christensenella_timonensis,X20_BWF_8754_1,0,Species,20 Weeks,B6,WT
37,Christensenella_timonensis,X20_BWF_8754_2,0,Species,20 Weeks,B6,WT
38,Christensenella_timonensis,X20_BWF_8755_1,0,Species,20 Weeks,B6,WT
39,Christensenella_timonensis,X20_BWF_8755_2,0,Species,20 Weeks,B6,WT
40,Christensenella_timonensis,X20_BWF_8852_1,0,Species,20 Weeks,B6,WT
41,Christensenella_timonensis,X20_BWF_8852_2,0,Species,20 Weeks,B6,WT
42,Christensenella_timonensis,X20_BWM_8745_1,2,Species,20 Weeks,B6,WT
43,Christensenella_timonensis,X20_BWM_8745_2,2,Species,20 Weeks,B6,WT
44,Christensenella_timonensis,X20_BWM_8747_1,2,Species,20 Weeks,B6,WT
45,Christensenella_timonensis,X20_BWM_8747_2,1,Species,20 Weeks,B6,WT
46,Christensenella_timonensis,X20_BWM_8847_1,0,Species,20 Weeks,B6,WT
47,Christensenella_timonensis,X20_BWM_8847_2,1,Species,20 Weeks,B6,WT
48,Christensenella_timonensis,X8_AKF_8733_1,0,Species,8 Weeks,AJ,KO
49,Christensenella_timonensis,X8_AKF_8733_2,0,Species,8 Weeks,AJ,KO
50,Christensenella_timonensis,X8_AKF_8738_1,0,Species,8 Weeks,AJ,KO
51,Christensenella_timonensis,X8_AKF_8738_2,0,Species,8 Weeks,AJ,KO
52,Christensenella_timonensis,X8_AKF_8802_1,0,Species,8 Weeks,AJ,KO
53,Christensenella_timonensis,X8_AKM_8768_1,0,Species,8 Weeks,AJ,KO
54,Christensenella_timonensis,X8_AKM_8768_2,0,Species,8 Weeks,AJ,KO
55,Christensenella_timonensis,X8_AKM_8769_1,0,Species,8 Weeks,AJ,KO
56,Christensenella_timonensis,X8_AKM_8769_2,0,Species,8 Weeks,AJ,KO
57,Christensenella_timonensis,X8_AKM_8771_1,0,Species,8 Weeks,AJ,KO
58,Christensenella_timonensis,X8_AKM_8771_2,0,Species,8 Weeks,AJ,KO
59,Christensenella_timonensis,X8_AWF_8736_1,0,Species,8 Weeks,AJ,WT
60,Christensenella_timonensis,X8_AWF_8736_2,0,Species,8 Weeks,AJ,WT
61,Christensenella_timonensis,X8_AWF_8797_1,0,Species,8 Weeks,AJ,WT
62,Christensenella_timonensis,X8_AWF_9005_1,0,Species,8 Weeks,AJ,WT
63,Christensenella_timonensis,X8_AWF_9005_2,0,Species,8 Weeks,AJ,WT
64,Christensenella_timonensis,X8_AWM_8728_1,0,Species,8 Weeks,AJ,WT
65,Christensenella_timonensis,X8_AWM_8728_2,0,Species,8 Weeks,AJ,WT
66,Christensenella_timonensis,X8_AWM_8730_1,0,Species,8 Weeks,AJ,WT
67,Christensenella_timonensis,X8_AWM_8730_2,0,Species,8 Weeks,AJ,WT
68,Christensenella_timonensis,X8_AWM_8766_1,0,Species,8 Weeks,AJ,WT
69,Christensenella_timonensis,X8_AWM_8766_2,0,Species,8 Weeks,AJ,WT
70,Christensenella_timonensis,X8_BKF_8726_1,2,Species,8 Weeks,B6,KO
71,Christensenella_timonensis,X8_BKF_8726_2,3,Species,8 Weeks,B6,KO
72,Christensenella_timonensis,X8_BKF_8926_1,0,Species,8 Weeks,B6,KO
73,Christensenella_timonensis,X8_BKF_8926_2,0,Species,8 Weeks,B6,KO
74,Christensenella_timonensis,X8_BKF_8927_1,0,Species,8 Weeks,B6,KO
75,Christensenella_timonensis,X8_BKM_8719_1,3,Species,8 Weeks,B6,KO
76,Christensenella_timonensis,X8_BKM_8719_2,5,Species,8 Weeks,B6,KO
77,Christensenella_timonensis,X8_BKM_8859_1,2,Species,8 Weeks,B6,KO
78,Christensenella_timonensis,X8_BKM_8859_2,0,Species,8 Weeks,B6,KO
79,Christensenella_timonensis,X8_BKM_8860_1,4,Species,8 Weeks,B6,KO
80,Christensenella_timonensis,X8_BKM_8860_2,1,Species,8 Weeks,B6,KO
81,Christensenella_timonensis,X8_BWF_8754_1,0,Species,8 Weeks,B6,WT
82,Christensenella_timonensis,X8_BWF_8754_2,2,Species,8 Weeks,B6,WT
83,Christensenella_timonensis,X8_BWF_8755_1,0,Species,8 Weeks,B6,WT
84,Christensenella_timonensis,X8_BWF_8852_1,0,Species,8 Weeks,B6,WT
85,Christensenella_timonensis,X8_BWF_8852_2,1,Species,8 Weeks,B6,WT
86,Christensenella_timonensis,X8_BWM_8745_1,2,Species,8 Weeks,B6,WT
87,Christensenella_timonensis,X8_BWM_8745_2,1,Species,8 Weeks,B6,WT
88,Christensenella_timonensis,X8_BWM_8747_1,3,Species,8 Weeks,B6,WT
89,Christensenella_timonensis,X8_BWM_8747_2,1,Species,8 Weeks,B6,WT
90,Christensenella_timonensis,X8_BWM_8847_1,0,Species,8 Weeks,B6,WT
91,Christensenella_timonensis,X8_BWM_8847_2,1,Species,8 Weeks,B6,WT
92,Cellulomonas_unclassified,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
93,Cellulomonas_unclassified,X20_AKF_8738_1,1,Species,20 Weeks,AJ,KO
94,Cellulomonas_unclassified,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
95,Cellulomonas_unclassified,X20_AKF_8802_1,0,Species,20 Weeks,AJ,KO
96,Cellulomonas_unclassified,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
97,Cellulomonas_unclassified,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
98,Cellulomonas_unclassified,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
99,Cellulomonas_unclassified,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
100,Cellulomonas_unclassified,X20_AKM_8769_2,1,Species,20 Weeks,AJ,KO
101,Cellulomonas_unclassified,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
102,Cellulomonas_unclassified,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
103,Cellulomonas_unclassified,X20_AWF_8736_1,1,Species,20 Weeks,AJ,WT
104,Cellulomonas_unclassified,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
105,Cellulomonas_unclassified,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
106,Cellulomonas_unclassified,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
107,Cellulomonas_unclassified,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
108,Cellulomonas_unclassified,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
109,Cellulomonas_unclassified,X20_AWM_8728_1,0,Species,20 Weeks,AJ,WT
110,Cellulomonas_unclassified,X20_AWM_8728_2,1,Species,20 Weeks,AJ,WT
111,Cellulomonas_unclassified,X20_AWM_8730_1,2,Species,20 Weeks,AJ,WT
112,Cellulomonas_unclassified,X20_AWM_8730_2,0,Species,20 Weeks,AJ,WT
113,Cellulomonas_unclassified,X20_AWM_8766_1,0,Species,20 Weeks,AJ,WT
114,Cellulomonas_unclassified,X20_AWM_8766_2,1,Species,20 Weeks,AJ,WT
115,Cellulomonas_unclassified,X20_BKF_8726_1,27,Species,20 Weeks,B6,KO
116,Cellulomonas_unclassified,X20_BKF_8726_2,12,Species,20 Weeks,B6,KO
117,Cellulomonas_unclassified,X20_BKF_8926_1,80,Species,20 Weeks,B6,KO
118,Cellulomonas_unclassified,X20_BKF_8926_2,72,Species,20 Weeks,B6,KO
119,Cellulomonas_unclassified,X20_BKF_8927_1,43,Species,20 Weeks,B6,KO
120,Cellulomonas_unclassified,X20_BKF_8927_2,30,Species,20 Weeks,B6,KO
121,Cellulomonas_unclassified,X20_BKM_8719_1,12,Species,20 Weeks,B6,KO
122,Cellulomonas_unclassified,X20_BKM_8719_2,8,Species,20 Weeks,B6,KO
123,Cellulomonas_unclassified,X20_BKM_8859_1,34,Species,20 Weeks,B6,KO
124,Cellulomonas_unclassified,X20_BKM_8859_2,38,Species,20 Weeks,B6,KO
125,Cellulomonas_unclassified,X20_BKM_8860_1,46,Species,20 Weeks,B6,KO
126,Cellulomonas_unclassified,X20_BKM_8860_2,76,Species,20 Weeks,B6,KO
127,Cellulomonas_unclassified,X20_BWF_8754_1,1,Species,20 Weeks,B6,WT
128,Cellulomonas_unclassified,X20_BWF_8754_2,1,Species,20 Weeks,B6,WT
129,Cellulomonas_unclassified,X20_BWF_8755_1,0,Species,20 Weeks,B6,WT
130,Cellulomonas_unclassified,X20_BWF_8755_2,0,Species,20 Weeks,B6,WT
131,Cellulomonas_unclassified,X20_BWF_8852_1,0,Species,20 Weeks,B6,WT
132,Cellulomonas_unclassified,X20_BWF_8852_2,0,Species,20 Weeks,B6,WT
133,Cellulomonas_unclassified,X20_BWM_8745_1,4,Species,20 Weeks,B6,WT
134,Cellulomonas_unclassified,X20_BWM_8745_2,8,Species,20 Weeks,B6,WT
135,Cellulomonas_unclassified,X20_BWM_8747_1,55,Species,20 Weeks,B6,WT
136,Cellulomonas_unclassified,X20_BWM_8747_2,52,Species,20 Weeks,B6,WT
137,Cellulomonas_unclassified,X20_BWM_8847_1,3,Species,20 Weeks,B6,WT
138,Cellulomonas_unclassified,X20_BWM_8847_2,5,Species,20 Weeks,B6,WT
139,Cellulomonas_unclassified,X8_AKF_8733_1,0,Species,8 Weeks,AJ,KO
140,Cellulomonas_unclassified,X8_AKF_8733_2,0,Species,8 Weeks,AJ,KO
141,Cellulomonas_unclassified,X8_AKF_8738_1,0,Species,8 Weeks,AJ,KO
142,Cellulomonas_unclassified,X8_AKF_8738_2,0,Species,8 Weeks,AJ,KO
143,Cellulomonas_unclassified,X8_AKF_8802_1,0,Species,8 Weeks,AJ,KO
144,Cellulomonas_unclassified,X8_AKM_8768_1,0,Species,8 Weeks,AJ,KO
145,Cellulomonas_unclassified,X8_AKM_8768_2,0,Species,8 Weeks,AJ,KO
146,Cellulomonas_unclassified,X8_AKM_8769_1,1,Species,8 Weeks,AJ,KO
147,Cellulomonas_unclassified,X8_AKM_8769_2,0,Species,8 Weeks,AJ,KO
148,Cellulomonas_unclassified,X8_AKM_8771_1,0,Species,8 Weeks,AJ,KO
149,Cellulomonas_unclassified,X8_AKM_8771_2,0,Species,8 Weeks,AJ,KO
150,Cellulomonas_unclassified,X8_AWF_8736_1,0,Species,8 Weeks,AJ,WT
151,Cellulomonas_unclassified,X8_AWF_8736_2,0,Species,8 Weeks,AJ,WT
152,Cellulomonas_unclassified,X8_AWF_8797_1,2,Species,8 Weeks,AJ,WT
153,Cellulomonas_unclassified,X8_AWF_9005_1,0,Species,8 Weeks,AJ,WT
154,Cellulomonas_unclassified,X8_AWF_9005_2,0,Species,8 Weeks,AJ,WT
155,Cellulomonas_unclassified,X8_AWM_8728_1,0,Species,8 Weeks,AJ,WT
156,Cellulomonas_unclassified,X8_AWM_8728_2,0,Species,8 Weeks,AJ,WT
157,Cellulomonas_unclassified,X8_AWM_8730_1,0,Species,8 Weeks,AJ,WT
158,Cellulomonas_unclassified,X8_AWM_8730_2,0,Species,8 Weeks,AJ,WT
159,Cellulomonas_unclassified,X8_AWM_8766_1,0,Species,8 Weeks,AJ,WT
160,Cellulomonas_unclassified,X8_AWM_8766_2,0,Species,8 Weeks,AJ,WT
161,Cellulomonas_unclassified,X8_BKF_8726_1,88,Species,8 Weeks,B6,KO
162,Cellulomonas_unclassified,X8_BKF_8726_2,99,Species,8 Weeks,B6,KO
163,Cellulomonas_unclassified,X8_BKF_8926_1,3,Species,8 Weeks,B6,KO
164,Cellulomonas_unclassified,X8_BKF_8926_2,0,Species,8 Weeks,B6,KO
165,Cellulomonas_unclassified,X8_BKF_8927_1,12,Species,8 Weeks,B6,KO
166,Cellulomonas_unclassified,X8_BKM_8719_1,87,Species,8 Weeks,B6,KO
167,Cellulomonas_unclassified,X8_BKM_8719_2,89,Species,8 Weeks,B6,KO
168,Cellulomonas_unclassified,X8_BKM_8859_1,43,Species,8 Weeks,B6,KO
169,Cellulomonas_unclassified,X8_BKM_8859_2,0,Species,8 Weeks,B6,KO
170,Cellulomonas_unclassified,X8_BKM_8860_1,86,Species,8 Weeks,B6,KO
171,Cellulomonas_unclassified,X8_BKM_8860_2,118,Species,8 Weeks,B6,KO
172,Cellulomonas_unclassified,X8_BWF_8754_1,35,Species,8 Weeks,B6,WT
173,Cellulomonas_unclassified,X8_BWF_8754_2,32,Species,8 Weeks,B6,WT
174,Cellulomonas_unclassified,X8_BWF_8755_1,30,Species,8 Weeks,B6,WT
175,Cellulomonas_unclassified,X8_BWF_8852_1,3,Species,8 Weeks,B6,WT
176,Cellulomonas_unclassified,X8_BWF_8852_2,5,Species,8 Weeks,B6,WT
177,Cellulomonas_unclassified,X8_BWM_8745_1,14,Species,8 Weeks,B6,WT
178,Cellulomonas_unclassified,X8_BWM_8745_2,6,Species,8 Weeks,B6,WT
179,Cellulomonas_unclassified,X8_BWM_8747_1,41,Species,8 Weeks,B6,WT
180,Cellulomonas_unclassified,X8_BWM_8747_2,50,Species,8 Weeks,B6,WT
181,Cellulomonas_unclassified,X8_BWM_8847_1,139,Species,8 Weeks,B6,WT
182,Cellulomonas_unclassified,X8_BWM_8847_2,105,Species,8 Weeks,B6,WT
183,Muribaculum_intestinale,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
184,Muribaculum_intestinale,X20_AKF_8738_1,1,Species,20 Weeks,AJ,KO
