,taxon,Sample_ID,count,Level,Age,Strain,Genotype
274,Turicibacter_unclassified,X20_AKF_8733_2,1,Species,20 Weeks,AJ,KO
275,Turicibacter_unclassified,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
276,Turicibacter_unclassified,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
277,Turicibacter_unclassified,X20_AKF_8802_1,1,Species,20 Weeks,AJ,KO
278,Turicibacter_unclassified,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
279,Turicibacter_unclassified,X20_AKM_8768_1,1,Species,20 Weeks,AJ,KO
280,Turicibacter_unclassified,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
281,Turicibacter_unclassified,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
282,Turicibacter_unclassified,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
283,Turicibacter_unclassified,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
284,Turicibacter_unclassified,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
285,Turicibacter_unclassified,X20_AWF_8736_1,1,Species,20 Weeks,AJ,WT
286,Turicibacter_unclassified,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
287,Turicibacter_unclassified,X20_AWF_8797_1,3,Species,20 Weeks,AJ,WT
288,Turicibacter_unclassified,X20_AWF_8797_2,1,Species,20 Weeks,AJ,WT
289,Turicibacter_unclassified,X20_AWF_9005_1,2,Species,20 Weeks,AJ,WT
290,Turicibacter_unclassified,X20_AWF_9005_2,4,Species,20 Weeks,AJ,WT
291,Turicibacter_unclassified,X20_AWM_8728_1,5,Species,20 Weeks,AJ,WT
292,Turicibacter_unclassified,X20_AWM_8728_2,5,Species,20 Weeks,AJ,WT
293,Turicibacter_unclassified,X20_AWM_8730_1,7,Species,20 Weeks,AJ,WT
294,Turicibacter_unclassified,X20_AWM_8730_2,5,Species,20 Weeks,AJ,WT
295,Turicibacter_unclassified,X20_AWM_8766_1,13,Species,20 Weeks,AJ,WT
296,Turicibacter_unclassified,X20_AWM_8766_2,7,Species,20 Weeks,AJ,WT
297,Turicibacter_unclassified,X20_BKF_8726_1,193,Species,20 Weeks,B6,KO
298,Turicibacter_unclassified,X20_BKF_8726_2,173,Species,20 Weeks,B6,KO
299,Turicibacter_unclassified,X20_BKF_8926_1,193,Species,20 Weeks,B6,KO
300,Turicibacter_unclassified,X20_BKF_8926_2,90,Species,20 Weeks,B6,KO
301,Turicibacter_unclassified,X20_BKF_8927_1,168,Species,20 Weeks,B6,KO
302,Turicibacter_unclassified,X20_BKF_8927_2,216,Species,20 Weeks,B6,KO
303,Turicibacter_unclassified,X20_BKM_8719_1,36,Species,20 Weeks,B6,KO
304,Turicibacter_unclassified,X20_BKM_8719_2,97,Species,20 Weeks,B6,KO
305,Turicibacter_unclassified,X20_BKM_8859_1,124,Species,20 Weeks,B6,KO
306,Turicibacter_unclassified,X20_BKM_8859_2,102,Species,20 Weeks,B6,KO
307,Turicibacter_unclassified,X20_BKM_8860_1,52,Species,20 Weeks,B6,KO
308,Turicibacter_unclassified,X20_BKM_8860_2,26,Species,20 Weeks,B6,KO
309,Turicibacter_unclassified,X20_BWF_8754_1,81,Species,20 Weeks,B6,WT
310,Turicibacter_unclassified,X20_BWF_8754_2,73,Species,20 Weeks,B6,WT
311,Turicibacter_unclassified,X20_BWF_8755_1,59,Species,20 Weeks,B6,WT
312,Turicibacter_unclassified,X20_BWF_8755_2,108,Species,20 Weeks,B6,WT
313,Turicibacter_unclassified,X20_BWF_8852_1,81,Species,20 Weeks,B6,WT
314,Turicibacter_unclassified,X20_BWF_8852_2,107,Species,20 Weeks,B6,WT
315,Turicibacter_unclassified,X20_BWM_8745_1,15,Species,20 Weeks,B6,WT
316,Turicibacter_unclassified,X20_BWM_8745_2,15,Species,20 Weeks,B6,WT
317,Turicibacter_unclassified,X20_BWM_8747_1,153,Species,20 Weeks,B6,WT
318,Turicibacter_unclassified,X20_BWM_8747_2,60,Species,20 Weeks,B6,WT
319,Turicibacter_unclassified,X20_BWM_8847_1,12,Species,20 Weeks,B6,WT
320,Turicibacter_unclassified,X20_BWM_8847_2,22,Species,20 Weeks,B6,WT
321,Turicibacter_unclassified,X8_AKF_8733_1,24,Species,8 Weeks,AJ,KO
322,Turicibacter_unclassified,X8_AKF_8733_2,55,Species,8 Weeks,AJ,KO
323,Turicibacter_unclassified,X8_AKF_8738_1,31,Species,8 Weeks,AJ,KO
324,Turicibacter_unclassified,X8_AKF_8738_2,56,Species,8 Weeks,AJ,KO
325,Turicibacter_unclassified,X8_AKF_8802_1,24,Species,8 Weeks,AJ,KO
326,Turicibacter_unclassified,X8_AKM_8768_1,9,Species,8 Weeks,AJ,KO
327,Turicibacter_unclassified,X8_AKM_8768_2,12,Species,8 Weeks,AJ,KO
328,Turicibacter_unclassified,X8_AKM_8769_1,3,Species,8 Weeks,AJ,KO
329,Turicibacter_unclassified,X8_AKM_8769_2,2,Species,8 Weeks,AJ,KO
330,Turicibacter_unclassified,X8_AKM_8771_1,3,Species,8 Weeks,AJ,KO
331,Turicibacter_unclassified,X8_AKM_8771_2,1,Species,8 Weeks,AJ,KO
332,Turicibacter_unclassified,X8_AWF_8736_1,21,Species,8 Weeks,AJ,WT
333,Turicibacter_unclassified,X8_AWF_8736_2,18,Species,8 Weeks,AJ,WT
334,Turicibacter_unclassified,X8_AWF_8797_1,3,Species,8 Weeks,AJ,WT
335,Turicibacter_unclassified,X8_AWF_9005_1,1,Species,8 Weeks,AJ,WT
336,Turicibacter_unclassified,X8_AWF_9005_2,0,Species,8 Weeks,AJ,WT
337,Turicibacter_unclassified,X8_AWM_8728_1,2,Species,8 Weeks,AJ,WT
338,Turicibacter_unclassified,X8_AWM_8728_2,7,Species,8 Weeks,AJ,WT
339,Turicibacter_unclassified,X8_AWM_8730_1,1,Species,8 Weeks,AJ,WT
340,Turicibacter_unclassified,X8_AWM_8730_2,1,Species,8 Weeks,AJ,WT
341,Turicibacter_unclassified,X8_AWM_8766_1,0,Species,8 Weeks,AJ,WT
342,Turicibacter_unclassified,X8_AWM_8766_2,3,Species,8 Weeks,AJ,WT
343,Turicibacter_unclassified,X8_BKF_8726_1,63,Species,8 Weeks,B6,KO
344,Turicibacter_unclassified,X8_BKF_8726_2,84,Species,8 Weeks,B6,KO
345,Turicibacter_unclassified,X8_BKF_8926_1,84,Species,8 Weeks,B6,KO
346,Turicibacter_unclassified,X8_BKF_8926_2,165,Species,8 Weeks,B6,KO
347,Turicibacter_unclassified,X8_BKF_8927_1,34,Species,8 Weeks,B6,KO
348,Turicibacter_unclassified,X8_BKM_8719_1,62,Species,8 Weeks,B6,KO
349,Turicibacter_unclassified,X8_BKM_8719_2,98,Species,8 Weeks,B6,KO
350,Turicibacter_unclassified,X8_BKM_8859_1,8,Species,8 Weeks,B6,KO
351,Turicibacter_unclassified,X8_BKM_8859_2,0,Species,8 Weeks,B6,KO
352,Turicibacter_unclassified,X8_BKM_8860_1,17,Species,8 Weeks,B6,KO
353,Turicibacter_unclassified,X8_BKM_8860_2,53,Species,8 Weeks,B6,KO
