,Sample_ID,sobs,Shannon,Simpson,Age,Strain,Genotype
1,X20_AKF_8733_2,120,2.764853501,0.122775484,20 Weeks,AJ,KO
2,X20_AKF_8738_1,117,2.955247047,0.094597114,20 Weeks,AJ,KO
3,X20_AKF_8738_2,102,2.879303338,0.093130963,20 Weeks,AJ,KO
4,X20_AKF_8802_1,128,2.607587535,0.141579238,20 Weeks,AJ,KO
5,X20_AKF_8802_2,110,2.554819564,0.16284519,20 Weeks,AJ,KO
6,X20_AKM_8768_1,104,2.761799844,0.118915757,20 Weeks,AJ,KO
7,X20_AKM_8768_2,108,2.795964788,0.116228763,20 Weeks,AJ,KO
8,X20_AKM_8769_1,110,2.930814946,0.109186528,20 Weeks,AJ,KO
9,X20_AKM_8769_2,114,2.869947096,0.119412551,20 Weeks,AJ,KO
10,X20_AKM_8771_1,120,2.936251161,0.099553428,20 Weeks,AJ,KO
11,X20_AKM_8771_2,105,2.81357091,0.107548087,20 Weeks,AJ,KO
12,X20_AWF_8736_1,182,3.275301955,0.090106065,20 Weeks,AJ,WT
13,X20_AWF_8736_2,168,3.041197947,0.109893502,20 Weeks,AJ,WT
14,X20_AWF_8797_1,172,3.216274185,0.091546518,20 Weeks,AJ,WT
15,X20_AWF_8797_2,167,3.270352906,0.085570338,20 Weeks,AJ,WT
16,X20_AWF_9005_1,184,3.59677563,0.064229467,20 Weeks,AJ,WT
17,X20_AWF_9005_2,170,3.414261808,0.073407307,20 Weeks,AJ,WT
18,X20_AWM_8728_1,155,2.691044938,0.184651732,20 Weeks,AJ,WT
19,X20_AWM_8728_2,195,3.2554551,0.08683802,20 Weeks,AJ,WT
20,X20_AWM_8730_1,192,3.312136053,0.100101346,20 Weeks,AJ,WT
21,X20_AWM_8730_2,180,3.250334697,0.105059578,20 Weeks,AJ,WT
22,X20_AWM_8766_1,140,2.502144916,0.165973604,20 Weeks,AJ,WT
23,X20_AWM_8766_2,122,2.512019501,0.177719803,20 Weeks,AJ,WT
24,X20_BKF_8726_1,216,3.769984092,0.064839028,20 Weeks,B6,KO
25,X20_BKF_8726_2,214,3.658065723,0.081272657,20 Weeks,B6,KO
26,X20_BKF_8926_1,206,3.68577602,0.06320575,20 Weeks,B6,KO
27,X20_BKF_8926_2,214,3.821468592,0.054869702,20 Weeks,B6,KO
28,X20_BKF_8927_1,238,3.605685721,0.0722422,20 Weeks,B6,KO
29,X20_BKF_8927_2,217,3.482427269,0.083267903,20 Weeks,B6,KO
30,X20_BKM_8719_1,209,3.37322514,0.100724806,20 Weeks,B6,KO
31,X20_BKM_8719_2,217,3.509469546,0.090077858,20 Weeks,B6,KO
32,X20_BKM_8859_1,200,3.645483623,0.067162448,20 Weeks,B6,KO
33,X20_BKM_8859_2,249,3.816720505,0.060206178,20 Weeks,B6,KO
34,X20_BKM_8860_1,221,3.640372206,0.068420068,20 Weeks,B6,KO
35,X20_BKM_8860_2,207,3.799862547,0.058817356,20 Weeks,B6,KO
36,X20_BWF_8754_1,192,3.634336817,0.067493529,20 Weeks,B6,WT
37,X20_BWF_8754_2,246,3.883626959,0.056113909,20 Weeks,B6,WT
38,X20_BWF_8755_1,191,3.295179689,0.108187741,20 Weeks,B6,WT
39,X20_BWF_8755_2,211,3.262010056,0.111025209,20 Weeks,B6,WT
40,X20_BWF_8852_1,166,2.966855126,0.134211341,20 Weeks,B6,WT
41,X20_BWF_8852_2,152,2.976544049,0.14459957,20 Weeks,B6,WT
42,X20_BWM_8745_1,194,3.129734961,0.111044657,20 Weeks,B6,WT
43,X20_BWM_8745_2,196,3.316701322,0.104977123,20 Weeks,B6,WT
44,X20_BWM_8747_1,176,3.123679429,0.134628267,20 Weeks,B6,WT
45,X20_BWM_8747_2,193,3.309387993,0.110138603,20 Weeks,B6,WT
46,X20_BWM_8847_1,202,3.299176614,0.10155118,20 Weeks,B6,WT
47,X20_BWM_8847_2,210,3.377733008,0.10151309,20 Weeks,B6,WT
48,X8_AKF_8733_1,166,3.372271767,0.083590753,8 Weeks,AJ,KO
49,X8_AKF_8733_2,168,3.356508038,0.08323826,8 Weeks,AJ,KO
50,X8_AKF_8738_1,183,3.327665833,0.096830118,8 Weeks,AJ,KO
51,X8_AKF_8738_2,192,3.468942599,0.076152045,8 Weeks,AJ,KO
52,X8_AKF_8802_1,170,3.343212976,0.076846869,8 Weeks,AJ,KO
