,taxa,Sample_ID,count,Level,Age,Strain,Genotype
1,Nocardioidaceae unclassified,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
2,Nocardioidaceae unclassified,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
3,Nocardioidaceae unclassified,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
4,Nocardioidaceae unclassified,X20_AKF_8802_1,0,Species,20 Weeks,AJ,KO
5,Nocardioidaceae unclassified,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
6,Nocardioidaceae unclassified,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
7,Nocardioidaceae unclassified,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
8,Nocardioidaceae unclassified,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
9,Nocardioidaceae unclassified,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
10,Nocardioidaceae unclassified,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
11,Nocardioidaceae unclassified,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
12,Nocardioidaceae unclassified,X20_AWF_8736_1,0,Species,20 Weeks,AJ,WT
13,Nocardioidaceae unclassified,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
14,Nocardioidaceae unclassified,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
15,Nocardioidaceae unclassified,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
16,Nocardioidaceae unclassified,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
17,Nocardioidaceae unclassified,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
18,Nocardioidaceae unclassified,X20_AWM_8728_1,0,Species,20 Weeks,AJ,WT
19,Nocardioidaceae unclassified,X20_AWM_8728_2,0,Species,20 Weeks,AJ,WT
20,Nocardioidaceae unclassified,X20_AWM_8730_1,0,Species,20 Weeks,AJ,WT
21,Nocardioidaceae unclassified,X20_AWM_8730_2,0,Species,20 Weeks,AJ,WT
22,Nocardioidaceae unclassified,X20_AWM_8766_1,0,Species,20 Weeks,AJ,WT
23,Nocardioidaceae unclassified,X20_AWM_8766_2,0,Species,20 Weeks,AJ,WT
24,Nocardioidaceae unclassified,X20_BKF_8726_1,0,Species,20 Weeks,B6,KO
25,Nocardioidaceae unclassified,X20_BKF_8726_2,0,Species,20 Weeks,B6,KO
26,Nocardioidaceae unclassified,X20_BKF_8926_1,0,Species,20 Weeks,B6,KO
27,Nocardioidaceae unclassified,X20_BKF_8926_2,0,Species,20 Weeks,B6,KO
28,Nocardioidaceae unclassified,X20_BKF_8927_1,0,Species,20 Weeks,B6,KO
29,Nocardioidaceae unclassified,X20_BKF_8927_2,0,Species,20 Weeks,B6,KO
30,Nocardioidaceae unclassified,X20_BKM_8719_1,0,Species,20 Weeks,B6,KO
31,Nocardioidaceae unclassified,X20_BKM_8719_2,0,Species,20 Weeks,B6,KO
32,Nocardioidaceae unclassified,X20_BKM_8859_1,0,Species,20 Weeks,B6,KO
33,Nocardioidaceae unclassified,X20_BKM_8859_2,0,Species,20 Weeks,B6,KO
34,Nocardioidaceae unclassified,X20_BKM_8860_1,0,Species,20 Weeks,B6,KO
35,Nocardioidaceae unclassified,X20_BKM_8860_2,0,Species,20 Weeks,B6,KO
36,Nocardioidaceae unclassified,X20_BWF_8754_1,0,Species,20 Weeks,B6,WT
37,Nocardioidaceae unclassified,X20_BWF_8754_2,0,Species,20 Weeks,B6,WT
38,Nocardioidaceae unclassified,X20_BWF_8755_1,0,Species,20 Weeks,B6,WT
39,Nocardioidaceae unclassified,X20_BWF_8755_2,0,Species,20 Weeks,B6,WT
40,Nocardioidaceae unclassified,X20_BWF_8852_1,0,Species,20 Weeks,B6,WT
41,Nocardioidaceae unclassified,X20_BWF_8852_2,0,Species,20 Weeks,B6,WT
42,Nocardioidaceae unclassified,X20_BWM_8745_1,0,Species,20 Weeks,B6,WT
43,Nocardioidaceae unclassified,X20_BWM_8745_2,0,Species,20 Weeks,B6,WT
44,Nocardioidaceae unclassified,X20_BWM_8747_1,0,Species,20 Weeks,B6,WT
45,Nocardioidaceae unclassified,X20_BWM_8747_2,0,Species,20 Weeks,B6,WT
46,Nocardioidaceae unclassified,X20_BWM_8847_1,0,Species,20 Weeks,B6,WT
47,Nocardioidaceae unclassified,X20_BWM_8847_2,0,Species,20 Weeks,B6,WT
48,Nocardioidaceae unclassified,X8_AKF_8733_1,0,Species,8 Weeks,AJ,KO
49,Nocardioidaceae unclassified,X8_AKF_8733_2,0,Species,8 Weeks,AJ,KO
50,Nocardioidaceae unclassified,X8_AKF_8738_1,0,Species,8 Weeks,AJ,KO
51,Nocardioidaceae unclassified,X8_AKF_8738_2,0,Species,8 Weeks,AJ,KO
52,Nocardioidaceae unclassified,X8_AKF_8802_1,0,Species,8 Weeks,AJ,KO
